id,city,country,group,latitude,longitude
paris,Paris,France,Western Europe,48.8566,2.3522
berlin,Berlin,Germany,Central Europe,52.5200,13.4050
madrid,Madrid,Spain,Southern Europe,40.4168,-3.7038
rome,Rome,Italy,Southern Europe,41.9028,12.4964
london,London,United Kingdom,Western Europe,51.5074,-0.1278
warsaw,Warsaw,Poland,Central Europe,52.2297,21.0122
athens,Athens,Greece,Southern Europe,37.9838,23.7275
oslo,Oslo,Norway,Northern Europe,59.9139,10.7522
vienna,Vienna,Austria,Central Europe,48.2082,16.3738
lisbon,Lisbon,Portugal,Southern Europe,38.7223,-9.1393
