id,name,mesh_name,x,y,z,side,direct_mesh,region,bone_type,bilateral_partner,group_representative,name_alternates,wikipedia
frontal-bone,Frontal bone,Frontal bone,0.00,164.87,5.38,midline,true,skull,bone,,,Forehead bone,Frontal_bone
parietal-bone-right,Parietal bone (right),Parietal bone right,-3.50,164.77,-2.97,right,true,skull,bone,parietal-bone-left,,Side of skull,Parietal_bone
parietal-bone-left,Parietal bone (left),Parietal bone left,3.49,164.73,-2.96,left,true,skull,bone,parietal-bone-right,,Side of skull,Parietal_bone
occipital-bone,Occipital bone,Occipital bone,0.02,160.32,-4.55,midline,true,skull,bone,,,Back of skull,Occipital_bone
ethmoid-bone,Ethmoid bone,Ethmoid Bone,0.00,159.25,5.89,midline,true,skull,bone,,,,Ethmoid_bone
sphenoid-bone,Sphenoid bone,Sphenoid bone,0.00,158.48,2.81,midline,true,skull,bone,,,,Sphenoid_bone
vomer,Vomer,Vomer,-0.01,157.15,4.64,midline,true,skull,bone,,,,Vomer
mandible,Mandible,Mandible bone,0.00,154.13,4.39,midline,true,skull,bone,,,Jaw|Jawbone,Mandible_(anatomy)
temporal-bone-right,Temporal bone (right),Temporal bone.r,-4.20,158.62,-0.29,right,true,skull,bone,temporal-bone-left,,Temple bone,Temporal_bone
temporal-bone-left,Temporal bone (left),Temporal bone.r,4.20,158.62,-0.29,left,false,skull,bone,temporal-bone-right,,Temple bone,Temporal_bone
zygomatic-bone-right,Zygomatic bone (right),Zygomatic bone.r,-4.65,158.56,5.21,right,true,skull,bone,zygomatic-bone-left,,Cheekbone|Cheek bone|Malar bone,Zygomatic_bone
zygomatic-bone-left,Zygomatic bone (left),Zygomatic bone.r,4.65,158.56,5.21,left,false,skull,bone,zygomatic-bone-right,,Cheekbone|Cheek bone|Malar bone,Zygomatic_bone
nasal-bone-right,Nasal bone (right),Nasal bone.r,-0.41,159.22,9.01,right,true,skull,bone,nasal-bone-left,,Nose bone,Nasal_bone
