id,leader,start_year,end_year,continent,leader_alternates,wikipedia
alexander-the-great,Alexander the Great,-356,-323,Asia,Alexander III of Macedon|Alexandros,Alexander_the_Great
hannibal-barca,Hannibal Barca,-247,-183,Africa,Hannibal,Hannibal_Barca
julius-caesar,Julius Caesar,-100,-44,Europe,Gaius Julius Caesar|Caesar,Julius_Caesar
scipio-africanus,Scipio Africanus,-236,-183,Europe,Publius Cornelius Scipio|Scipio,Scipio_Africanus
themistocles,Themistocles,-524,-459,Europe,Themistokles,Themistocles
leonidas,Leonidas I,-540,-480,Europe,Leonidas,Leonidas_I
pyrrhus-of-epirus,Pyrrhus of Epirus,-319,-272,Europe,Pyrrhus,Pyrrhus_of_Epirus
khalid-ibn-al-walid,Khalid ibn al-Walid,585,642,Middle East,Sayf Allah|Sword of Allah|Khalid bin Walid,Khalid_ibn_al-Walid
tariq-ibn-ziyad,Tariq ibn Ziyad,670,720,Middle East,Tariq ibn Ziyad,Tariq_ibn_Ziyad
saladin,Saladin,1137,1193,Middle East,Ṣalāḥ ad-Dīn|Yusuf ibn Ayyub|Salah ad-Din,Saladin
baybars,Baybars,1223,1277,Middle East,Al-Malik al-Zahir|Rukn al-Din Baybars,Baybars
timur,Timur,1336,1405,Asia,Tamerlane|Tamburlaine|Amir Timur,Timur
genghis-khan,Genghis Khan,1162,1227,Asia,Chinggis Khan|Temüjin|Temujin,Genghis_Khan
kublai-khan,Kublai Khan,1215,1294,Asia,Qubilai Khan|Setsen Khan,Kublai_Khan
sun-tzu,Sun Tzu,-544,-496,Asia,Sun Zi|Sun Wu|Master Sun,Sun_Tzu
cao-cao,Cao Cao,155,220,Asia,Wei Wu|Mengde,Cao_Cao
toyotomi-hideyoshi,Toyotomi Hideyoshi,1537,1598,Asia,Hashiba Hideyoshi|Kinoshita Tokichiro,Toyotomi_Hideyoshi
yi-sun-sin,Yi Sun-sin,1545,1598,Asia,Yi Sunshin|Admiral Yi,Yi_Sun-sin
vo-nguyen-giap,Vo Nguyen Giap,1911,2013,Asia,General Giap|Vo Nguyen Giap|Giap,Vo_Nguyen_Giap
subotai,Subutai,1175,1248,Asia,Subutai|Subodei|Subetei,Subutai
zhuge-liang,Zhuge Liang,181,234,Asia,Kongming|Crouching Dragon,Zhuge_Liang
