id,event,start_year,start_month,start_day,end_year,end_month,end_day,theatre,event_alternates,wikipedia
invasion-of-poland,Invasion of Poland,1939,9,1,1939,10,6,European Theatre,September Campaign|Poland Campaign,Invasion_of_Poland
fall-of-france,Fall of France,1940,5,10,1940,6,25,European Theatre,Battle of France,Fall_of_France
battle-of-britain,Battle of Britain,1940,7,10,1940,10,31,European Theatre,RAF vs Luftwaffe|Battle of Britain 1940,Battle_of_Britain
the-blitz,The Blitz,1940,9,7,1941,5,11,European Theatre,London Blitz|Blitz,The_Blitz
d-day,D-Day,1944,6,6,,,,European Theatre,Normandy Landings|Operation Overlord|Normandy Invasion,D-Day
liberation-of-paris,Liberation of Paris,1944,8,19,1944,8,25,European Theatre,Battle for Paris,Liberation_of_Paris
battle-of-the-bulge,Battle of the Bulge,1944,12,16,1945,1,16,European Theatre,Ardennes Offensive|Ardennes Counteroffensive,Battle_of_the_Bulge
ve-day,VE Day,1945,5,8,,,,European Theatre,Victory in Europe Day|Victory in Europe|End of War in Europe,VE_Day
operation-barbarossa,Operation Barbarossa,1941,6,22,1941,12,5,Eastern Front,Barbarossa,Operation_Barbarossa
battle-of-moscow,Battle of Moscow,1941,9,30,1942,1,7,Eastern Front,Moscow|Defence of Moscow|Operation Typhoon,Battle_of_Moscow
siege-of-leningrad,Siege of Leningrad,1941,9,8,1944,1,27,Eastern Front,Leningrad Blockade|Blockade of Leningrad,Siege_of_Leningrad
battle-of-stalingrad,Battle of Stalingrad,1942,8,23,1943,2,2,Eastern Front,Stalingrad,Battle_of_Stalingrad
battle-of-kursk,Battle of Kursk,1943,7,5,1943,8,23,Eastern Front,Kursk,Battle_of_Kursk
battle-of-berlin,Battle of Berlin,1945,4,16,1945,5,2,Eastern Front,Fall of Berlin,Battle_of_Berlin
soviet-invasion-of-manchuria,Soviet Invasion of Manchuria,1945,8,8,1945,9,2,Eastern Front,Manchurian Strategic Offensive|Soviet-Japanese War,Soviet_invasion_of_Manchuria
attack-on-pearl-harbor,Attack on Pearl Harbor,1941,12,7,,,,Pacific Theatre,Pearl Harbor|Bombing of Pearl Harbor,Attack_on_Pearl_Harbor
fall-of-singapore,Fall of Singapore,1942,2,8,1942,2,15,Pacific Theatre,Battle of Singapore,Fall_of_Singapore
battle-of-midway,Battle of Midway,1942,6,4,1942,6,7,Pacific Theatre,Midway,Battle_of_Midway
guadalcanal-campaign,Guadalcanal Campaign,1942,8,7,1943,2,9,Pacific Theatre,Battle of Guadalcanal|Guadalcanal,Guadalcanal_Campaign
battle-of-iwo-jima,Battle of Iwo Jima,1945,2,19,1945,3,26,Pacific Theatre,Iwo Jima,Battle_of_Iwo_Jima
battle-of-okinawa,Battle of Okinawa,1945,4,1,1945,6,21,Pacific Theatre,Okinawa,Battle_of_Okinawa
atomic-bombing-of-hiroshima,Atomic Bombing of Hiroshima,1945,8,6,,,,Pacific Theatre,Hiroshima|Bombing of Hiroshima|First Atomic Bomb,Atomic_Bombing_of_Hiroshima
atomic-bombing-of-nagasaki,Atomic Bombing of Nagasaki,1945,8,9,,,,Pacific Theatre,Nagasaki|Bombing of Nagasaki|Second Atomic Bomb,Atomic_Bombing_of_Nagasaki
vj-day,VJ Day,1945,8,15,,,,Pacific Theatre,Victory over Japan Day|Victory in the Pacific|End of World War 2|Japan Surrenders,VJ_Day
nazi-soviet-pact,Nazi-Soviet Pact,1939,8,23,,,,Diplomacy & Politics,Molotov-Ribbentrop Pact|German-Soviet Non-Aggression Pact,Nazi-Soviet_Pact
lend-lease-act,Lend-Lease Act,1941,3,11,,,,Diplomacy & Politics,Lend-Lease,Lend-Lease_Act
atlantic-charter,Atlantic Charter,1941,8,14,,,,Diplomacy & Politics,Roosevelt-Churchill Declaration|Anglo-American Charter,Atlantic_Charter
wannsee-conference,Wannsee Conference,1942,1,20,,,,Diplomacy & Politics,Wannsee|Planning of the Holocaust|Final Solution Conference,Wannsee_Conference
yalta-conference,Yalta Conference,1945,2,4,1945,2,11,Diplomacy & Politics,Yalta,Yalta_Conference
potsdam-conference,Potsdam Conference,1945,7,17,1945,8,2,Diplomacy & Politics,Potsdam,Potsdam_Conference
japan-formal-surrender,Japan's Formal Surrender,1945,9,2,,,,Diplomacy & Politics,Japanese Instrument of Surrender|Surrender of Japan,Surrender_of_Japan
katyusha-rockets-first-used,Katyusha Rockets First Used,1941,7,14,,,,Strategic & Technology,Katyusha|Battle of Orsha,Katyusha_rocket_launcher
manhattan-project-begins,Manhattan Project Begins,1942,8,13,,,,Strategic & Technology,Manhattan Project|Manhattan Engineer District,Manhattan_Project
first-v1-attack,First V-1 Attack on London,1944,6,13,,,,Strategic & Technology,V-1 Flying Bomb|V-1,V-1_flying_bomb
me-262-first-combat,Me 262 First Jet Combat,1944,7,26,,,,Strategic & Technology,Me 262|Messerschmitt Me 262,Messerschmitt_Me_262
first-v2-attack,First V-2 Rocket Attack,1944,9,8,,,,Strategic & Technology,V-2 Rocket|V-2,V-2_rocket
trinity-nuclear-test,Trinity Nuclear Test,1945,7,16,,,,Strategic & Technology,Trinity Test|Trinity|First Nuclear Test,Trinity_test
