id,name,region,latitude,longitude,name_alternates,wikipedia,prominence_rank
y123-dyirbal-jirrbal,Dyirbal / Jirrbal,Cape York & Torres Strait,-17.740226555635,145.66133402195,Dyirbal|Djirbalngan|Djiru|Giramay|Gulngai|Jirrbalngan|Keramai|Malanbara|Ngatjan|Mamu|Djirubal|Djirbal|Tjirbal|Chirpalji|Dyirbaldyi|Dyirbalngan|Chirpa|Choolngai|Njirma|Jirrbal,Dyirbal language,1
n20-tiwi,Tiwi,Top End & Arnhem (NT),-11.563361220759,130.75974911356,Tunuvivi|Diwi|Nguiu|Nimara|Wonga:k|Woranguwe|Wunguk|Wunuk|Yeimbi,Tiwi language,2
y82-guugu-yimidhirr,Guugu Yimidhirr,Cape York & Torres Strait,-15.085217541197,144.94279460915,Guguyimidjir|Kokoimudji|Kokonjekodi|Balara|Boolcanara|Bullangi|Bulponara|Bulpoonarra|Djidjul|Emoji|Galai Garburnga|Gog yimidjir|Gogo Yimidjir|Gu|gu Yimidir|Gug Imudji|Gug timidir|I:du|Imudji|Ithu|Jidhu|Jimidir|Jimudji|Jungkurara|Junkara|Kalay|Karpungga|Karpurnka|Koko Dyungay|Koko Ialiu|Koko Ialunia|Koko Yimidjir|Koko aungu|Koko jimidir|Koko yimidir|Kokodjilandji|Kokojalanja|Kokojimoji|Kokoyalunyu|Kookawanga|Kookoymma|Kookoyuma|Kuku Yimidyi|Tyrhal|Wiu|Wuriwatha|Wurkuldi|Yokarra|Yung Kurara|Yungkarara|YunguraraYimidir|Gugu Yimidhirr|Yimithirr|Guugu Yimithirr,Guugu Yimithirr language,3
c15-warlpiri,Warlpiri,Central Desert,-20.433595605496,131.05240928361,Lander Warlpiri|Ngalia|Walbiri|Walmalla|Walpiri|Waneiga|Warlmala|Alpira|Alpiri|Elpira|Ilpara|Ilpira|Ilpirra|Nambulatji|Njambalatji|Ulperra|Wailbri|Walbrai|Walbri|Waljbiri|Waljpiri|Walpari|Warrabri|Wolperi|Wolpirra|Waibry|Nambutj|Nambutju|Waibri|Albura|Boonara|Bunara|Buruwatung|Ipara|Jalpiri|Kolo|Kukuruba|Manggai|Munga|Nambuda|Nanbuda|Ngadi|Ngali|Ngaliya|Ngallea|Ngallia|Ngardi|Ngari|Ngarilia|Ngarliya|Warrmarla|Warnayaka|Ngardilypa|Yarlpiri|Njalia|Ooldean|Panara|Puruwantung|Waiangadi|Waiangara|Waingara|Wakirti Warlpiri|Walmala|Walmanba|Wanaeka|Wanajaga|Wanajaka|Wanajeka|Wanayaga|Warangari|Waringari|Warniaka|Warramulla|Wawilja|Wommana|Woneiga,Warlpiri language,4
s64-dharug-darug,Dharug / Darug,SE Australia,-33.889577865158,150.04841244489,Dharuk|Dharuk etc|Daruk|Oharruk|Dharrok|Darrkinyung|Dharruk|Dharrook|Darrook|Dharug|Darug,Dharug language,5
c6-pitjantjatjara,Pitjantjatjara,Central Desert,-25.664115063165,130.065503849,Pitjantjatjarra|Bidjandjadjara|Pitjantjara|Bidjandja|Bidjandjara|Bidjuwongga|Bidyandyadyara|Bindjandjadjara|Gunggawara|Ituarre|Jabu|Kalgonei|Mamoo|Mamu|Mangawara|Mulatara|Nangatadjara|Njangadjadjara|Nyangatjatjara|Partutu|Peechintarra|Pidjandja|Pidjandjara|Pidzandza|Pijandarra|Pintularapi|Pitchentara|Pitdjandjara|Pitindjatjara|Pitjandara|Pitjandjadjara|Pitjandjara|Pitjanjarra|Pitjanzazara|Pitjendadjara|Pitjentara|Pitjindjatjara|Pitjindjiara|Pitjinjara|Pitjinjiara|Pitjintara|Pitjintjitjira|Pitkindjara|Pituari|Tjitiadjara|Tjurti|Wankawinan|Wanudjara|Widanda|Widjandja|Wirtjapakandja|Wongapitcha|Wongapitja|Wongapitjira|Bidjandjadjara/Njangadadjara|Woga pitja,Pitjantjatjara dialect,6
c8-arrernte,Arrernte,Central Desert,-23.912769752563,134.26092317523,Aranda|Ikngerripenhe|Eastern Aranda|Mparntwe Arrernte|Central Aranda|Tyuretye Arrernte|Arrernte Alturlerenj|Western Aranda|Pertame|Southern Aranda|Arrarnta|Aldolanga|Aldolinga|Alitera|Aranta|Arinta|Arranda|Arrinda|Arrundta|Arunda|Arrunta|Arunndta|Arunta|Arunta Ulpma|Burringah|Herrinda|Ilpma|Jairunda|Oiljpma|Paroola|Pirdima|Pitjapitja|Pitjima|Ulpma|Urrundie|Waitjinga|Wonggaranda|Wongkatjeri|Wychinga|Western Arrernte|Eastern Arrernte|Sourthern Aranda|Arrente,Arrernte language,7
l10-adnyamathanha,Adnyamathanha,Lake Eyre / Central SA,-30.350211730328,138.88257707454,Adnymathanha|Adjnjamathanha|Adynyamathanha|Adnjamathanha|Jadliaura|Ngudlawara|Wailpi|Walypi|Adnamadana|Adjnjamatana|Adnamatana|Adnjamadana|Adnjamadhanha|Adnjamatana|Adnjamathera|Adnjmadhanha|Adnjnjamathanha|Adyamatana|Andjama Dana|Andyamatana|Anjamatana|Anjamutina|Anjimatana|Anjiwatana|Anjiwatina|Anyamatana|Archualda|Atjualda|Benbakanjamata|Benbakanjamatana|Binbarnja|Binbarnya|Gadjnjamada|Gadjnjamadja|Ganjamadna|Imatjara|Kanjamata|Kanjimata|Keidnamutha|Keydnjamarda|Keydnjmarda|Kudjamuther|Kudjchnamootha|Kudnamietha|Kutchhamootha|Kutchnamoota|Kutchnamootha|Mardala|Mardula|Ngatjuwalda|Nimalda|Nimbalda|Nimbaldi|Nuralda|Umbertana|Unyamatana|Unyamootha|Wadla|Wailbi|Wajalpi|Waljbi|Wipie|Adnyamathana|Adnjamadana Wailbi|Adnyamatana,Adnyamathanha language,8
y3-meriam-mir,Meriam Mir,Cape York & Torres Strait,-9.683089797572,143.77542511209,East Torres|Miriam|Meryam Mir|Meriam|Boigu|Buibatyalli|Errob|Erub|Garamir|Gaurareg|Maer|Maralaig|Mer|Meryam|Morolag|Sabai|Saibai|Tagota|Ugar,Meriam language,9
c4-yankunytjatjara,Yankunytjatjara,Central Desert,-26.623693675417,132.26055292732,Yankuntjatjarra|Yankuntjatjara|Alinjera|Ankundjara|Jan gundjara|Janggunadjara|Janggundjara|Jangkudjara|Jangkuntjarra|Jangkundjadjara|Jangkundjara|Jangwundjara|Jankundjadjara|Jankundjara|Jankundjindjara|Jankuntjatara|Jankuntjatjara|Jankunzazara|Jankunzazzara|Kaltjilandjara|Nankundjara|Wirtjapakandja|Wirtjapokandja|Yangkuntjatjara|Yangundjadjara|Yangundyadyara|Yankundyari|Yankunjara|Yangundjara|Yankuntjara|Yangkundjara|Everard Range Tribe’,Yankunytjatjara dialect,10
