id,name,name_alternates,continent,scalerank,paths,latitude,longitude,label_t,label_position,discharge_m3s,discharge_rank,tributary_of,distributary_of,segment_of,length_km,total_length_km,wikipedia
tongariro-2034,Tongariro,,Oceania,0,M 175.79 38.96 L 175.84 39.05 L 175.81 39.15,-39.05,175.83,,,,,,,,22,22,Tongariro_River
albert-nile-9,Albert Nile,,Africa,1,M 32.02 -3.61 L 31.91 -3.5 L 31.82 -3.54 L 31.69 -3.49 L 31.42 -2.99 L 31.37 -2.82 L 31.44 -2.75 L 31.42 -2.62 L 31.53 -2.5 L 31.47 -2.4,3.1,31.5,,,700,89,,,Nile,183,183,Albert_Nile
amazonas-2,Amazonas,Amazon,South America,1,M -52.71 1.58 L -52.93 1.62 L -53.22 1.81 L -53.78 1.92 L -54.03 2.08 L -54.07 2.33 L -54.57 2.45 L -54.68 2.41 L -54.7 2.3 L -54.67 2.21 L -54.72 2.15 L -54.91 2.07 L -55.09 2.2 L -55.32 2.13 L -55.43 2 L -55.6 1.91 L -55.77 1.98 L -56.05 2.01 L -56.36 2.28 L -56.52 2.51 L -56.64 2.57 L -56.8 2.59 L -57 2.51 L -57.2 2.56 L -57.41 2.41 L -57.51 2.38 L -57.81 2.75 L -58.11 2.88 L -58.24 3.22 L -58.5 3.16 L -58.66 3.34 L -58.84 3.35 L -59.03 3.24 L -59.28 3.22 L -59.67 3.07 L -59.81 3.08 L -59.9 3.1 L -59.9 3.19 L -59.98 3.26 L -60.17 3.34 L -60.32 3.29 L -60.69 3.33 L -60.91 3.61 L -61.4 3.62 L -61.66 3.86 L -61.88 3.96 L -62.39 3.69 L -62.46 3.84 L -62.79 3.89 L -63.12 4.08 L -63.17 4.06 L -63.2 3.95 L -63.53 3.84 L -63.69 3.88 L -63.91 3.83 L -64.44 3.55 L -64.51 3.41 L -64.59 3.39 L -64.84 3.14 L -65.01 3.04 L -65.23 2.77 L -65.45 2.69 L -65.49 2.59 L -65.71 2.62 L -65.95 2.46 L -66.07 2.5 L -66.18 2.42 L -66.31 2.57 L -66.43 2.45 L -66.54 2.42 L -66.6 2.46 L -66.61 2.64 L -66.66 2.69 L -66.99 2.73 L -67.09 2.66 L -67.35 2.58 L -67.49 2.75 L -67.79 2.84 L -67.93 3.06 L -67.92 3.26 L -67.97 3.34 L -68.35 3.29 L -68.49 3.35 L -68.58 3.33 L -68.83 3.4 L -69.07 3.41 L -69.33 3.5 L -69.42 3.71 L -69.4 3.94 L -69.5 4.09 L -69.41 4.19 L -69.6 4.34 L -69.75 4.37 L -69.93 4.33 L -70.01 4.15 L -70.19 4.03 L -70.24 3.89 L -70.35 3.82 L -70.47 3.88 L -70.63 3.87 L -71.08 4 L -71.17 3.97 L -71.25 3.86 L -71.47 3.86 L -71.68 3.72 L -71.74 3.39 L -71.84 3.34 L -72.26 3.52 L -72.81 3.45 L -73.05 3.52 L -73.25 3.73 L -73.19 3.8 L -73.18 4.1 L -73.24 4.15 L -73.37 4.11 L -73.36 4.21 L -73.45 4.3 L -73.44 4.41 L -73.49 4.44|M -54.16 2.24 L -54.23 2.32 L -54.27 2.27 L -54.38 2.33 L -54.33 2.24 L -54.43 2.2 L -54.16 2.24 Z|M -54.14 2.25 L -54.09 2.02 L -53.95 1.93 L -53.79 1.92,-3.97,-71.16,,,209000,1,,,,3059,18529,Amazonas_River
bykovskaya-protoka-21,Bykovskaya Protoka,,Asia,1,M 126.69 -72.29 L 126.65 -72.47 L 126.76 -72.54 L 127.67 -72.43,72.52,127.05,,,,,,Lena,,61,61,
damietta-branch-20,Damietta Branch,,Africa,1,M 31.15 -30.18 L 31.06 -30.37 L 31.26 -30.55 L 31.21 -30.84 L 31.25 -30.85 L 31.26 -30.96 L 31.39 -31.05 L 31.47 -31.18 L 31.61 -31.2 L 31.72 -31.38 L 31.81 -31.42 L 31.84 -31.53,30.93,31.26,,,,,,Nile,,190,190,
irrawaddy-0,Irrawaddy,Ayeyarwady|Irrawaddy Delta,Asia,1,M 95.45 -17.82 L 95.43 -17.84 L 95.26 -17.75 L 95.08 -17.38 L 94.94 -17.34 L 94.96 -17.23 L 94.82 -17.07 L 94.84 -17.04 L 94.74 -16.97 L 94.75 -16.72 L 94.68 -16.53|M 94.79 -16.16 L 94.95 -16.33 L 95.04 -16.56 L 95.13 -16.58 L 95.16 -16.71 L 95.19 -16.71 L 95.23 -16.83 L 95.16 -16.93 L 95.21 -17.02 L 95.2 -17.13 L 95.27 -17.2 L 95.21 -17.31 L 95.28 -17.3 L 95.24 -17.33 L 95.27 -17.39 L 95.27 -17.33 L 95.33 -17.35 L 95.3 -17.42 L 95.34 -17.46 L 95.27 -17.5 L 95.39 -17.72 L 95.47 -17.71|M 95.45 -17.79 L 95.49 -17.91 L 95.6 -17.9 L 95.72 -17.53 L 95.96 -17.16 L 95.95 -17.05 L 96.05 -16.98 L 96.13 -16.78 L 96.17 -16.77|M 96.01 -16.39 L 95.88 -16.42 L 95.83 -16.5 L 95.88 -16.54 L 95.88 -16.63 L 95.86 -16.66 L 95.79 -16.64 L 95.76 -16.72 L 95.66 -16.74 L 95.67 -16.82 L 95.61 -16.86|M 95.48 -16.81 L 95.38 -16.45 L 95.28 -16.3 L 95.27 -16.17 L 95.13 -16.02|M 94.99 -16.25 L 95.08 -16.39 L 95.32 -16.61 L 95.33 -16.76 L 95.61 -16.86 L 95.56 -17.01 L 95.65 -17.11 L 95.59 -17.3 L 95.68 -17.42 L 95.55 -17.5 L 95.57 -17.61 L 95.46 -17.73 L 95.45 -18.03 L 95.38 -18.23 L 95.21 -18.36 L 95.06 -18.56 L 95.08 -18.67 L 95.21 -18.81 L 95.11 -19.02 L 95.2 -19.37 L 95.14 -19.74 L 95.16 -19.82 L 94.91 -20.12 L 94.91 -20.36 L 94.71 -20.81 L 94.82 -20.97 L 94.8 -21.16 L 94.85 -21.23 L 94.99 -21.25 L 95.02 -21.31 L 95.14 -21.31 L 95.33 -21.46 L 95.39 -21.73 L 95.51 -21.92 L 95.78 -21.93 L 95.91 -21.86 L 96.04 -21.92 L 95.99 -22.22 L 96.01 -22.33 L 95.96 -22.39 L 95.99 -22.53 L 95.9 -22.71 L 95.96 -22.77 L 96.02 -23.56 L 96.21 -23.77 L 96.3 -24.1 L 96.44 -24.3 L 96.53 -24.3 L 96.63 -24.36 L 96.78 -24.29 L 96.93 -24.13 L 97.08 -24.14 L 97.19 -24.21 L 97.21 -24.27 L 97.12 -24.37 L 97.12 -24.61 L 97.03 -24.82 L 97.22 -25 L 97.21 -25.09 L 97.31 -25.1 L 97.24 -25.13 L 97.23 -25.19 L 97.31 -25.36 L 97.42 -25.33 L 97.4 -25.38 L 97.53 -25.68 L 97.49 -25.7,17.78,95.45,,,13000,13,,,,2210,2637,Irrawaddy_Delta
kagera-6,Kagera,,Africa,1,M 29.59 2.98 L 29.73 3.05 L 29.9 3.07 L 29.9 3.17 L 29.96 3.16 L 30.02 3.23 L 30 3.37 L 30.16 3.32 L 30.36 3.14 L 30.49 2.94 L 30.42 2.85 L 30.46 2.73 L 30.78 2.47 L 30.89 2.08 L 30.8 1.93 L 30.84 1.62 L 30.74 1.49 L 30.74 1.41 L 30.55 1.32 L 30.51 1.17 L 30.47 1.16 L 30.47 1.07 L 30.64 1.07 L 30.78 0.99 L 30.91 1.02 L 31.05 1.18 L 31.18 1.18 L 31.36 1.25 L 31.56 1.2 L 31.6 1.03 L 31.77 0.94,-1.91,30.81,,,230,114,Nile,,,584,584,Kagera_River
lena-12,Lena,,Asia,1,M 126.69 -72.29 L 126.81 -72.2 L 126.97 -71.97 L 127.18 -71.88 L 127.13 -71.75 L 127.26 -71.47 L 127.25 -71.23 L 127.29 -71.16 L 127.53 -71.03 L 127.44 -70.9 L 127.58 -70.81 L 126.93 -70.54 L 126.02 -70.52 L 125.78 -70.45 L 125.75 -70.4 L 126.05 -70.3 L 126.04 -70.25 L 125.84 -70.08 L 125.4 -69.94 L 125.13 -69.9 L 125.01 -69.68 L 124.66 -69.36 L 124.1 -69.11 L 123.98 -68.97 L 123.96 -68.71 L 123.82 -68.39 L 123.65 -68.21 L 123.2 -68.05 L 123 -67.51 L 123.35 -67.13 L 123.42 -66.98 L 123.42 -66.84 L 123.55 -66.61 L 123.7 -66.5 L 123.94 -66.1 L 124.3 -65.8 L 124.23 -65.54 L 124.37 -65.41 L 124.38 -65.29 L 124.5 -65.15 L 124.89 -64.94 L 125.15 -64.91 L 125.43 -64.79 L 125.53 -64.62 L 126.39 -64.43 L 126.89 -64.21 L 127.44 -63.88 L 128.03 -63.74 L 128.23 -63.58 L 128.48 -63.51 L 129.12 -63.53 L 129.38 -63.49 L 129.65 -63.24 L 129.59 -63.07 L 129.73 -62.94 L 129.86 -62.61 L 130.02 -62.5 L 130.06 -62.43 L 130.03 -62.28 L 129.9 -62.22 L 129.86 -61.97 L 129.56 -61.67 L 128.6 -61.26 L 128.13 -61.27 L 127.17 -61.1 L 126.67 -61.12 L 126.21 -61.06 L 125.77 -60.89 L 125.03 -60.77 L 124.86 -60.69 L 124.34 -60.67 L 124.08 -60.58 L 121.77 -60.58 L 121.31 -60.66 L 120.72 -60.49 L 120.65 -60.41|M 120.65 -60.4 L 120.24 -60.39 L 120.01 -60.22 L 119.46 -60.26 L 119.04 -59.97 L 118.73 -59.94 L 118.52 -59.85 L 118.47 -59.75 L 118.27 -59.71 L 117.17 -60.08 L 117 -60.31 L 116.84 -60.41 L 116.15 -60.54 L 115.95 -60.6 L 115.68 -60.78 L 114.97 -60.77 L 114.67 -60.67 L 114.19 -60.27 L 113.97 -60.23 L 113.37 -59.8 L 112.85 -59.7 L 112.78 -59.59 L 112.6 -59.52 L 112.56 -59.34 L 112.4 -59.25 L 112.04 -59.19 L 111.91 -59.23 L 111.66 -59.06 L 111.21 -58.89 L 111.22 -58.76 L 111.18 -58.73 L 110.87 -58.75 L 110.95 -58.7 L 110.93 -58.66 L 110.44 -58.66 L 109.81 -58.59 L 109.75 -58.4 L 109.53 -58.24 L 109.39 -58.21 L 109.12 -58.28 L 108.61 -58.06 L 108.59 -57.98 L 108.45 -57.95 L 108.29 -57.78 L 108 -57.77 L 108.03 -57.67 L 107.74 -57.61 L 107.83 -57.59 L 107.88 -57.63 L 107.92 -57.53 L 107.57 -57.4 L 107.59 -57.34 L 107.5 -57.35 L 107.47 -57.28 L 107.27 -57.26 L 107.19 -57.32 L 107.01 -57.33 L 106.91 -57.25 L 106.94 -57.18 L 106.85 -57.12 L 106.84 -57.05 L 106.46 -57.02 L 106.31 -57.06 L 106.1 -56.86 L 105.69 -56.78 L 105.65 -56.74 L 105.73 -56.7 L 106.14 -56.7 L 106.28 -56.63 L 106.29 -56.51 L 106.18 -56.39 L 105.81 -56.35 L 105.66 -56.23 L 105.82 -56.12 L 105.87 -56.02 L 105.76 -55.77 L 105.55 -55.57 L 105.42 -55.24 L 105.14 -55.13 L 105.08 -55.06 L 105.11 -55.03 L 105.05 -54.95 L 105.07 -54.86 L 105.23 -54.81 L 105.24 -54.6 L 105.16 -54.41 L 105.39 -54.31 L 105.6 -54.05 L 105.75 -53.99 L 105.85 -54 L 105.93 -53.89 L 106.1 -53.85 L 106.42 -53.84 L 106.66 -53.89 L 107.09 -53.85 L 107.18 -53.89 L 107.18 -53.98 L 107.4 -54.05 L 107.5 -54.19 L 107.78 -54.29 L 108.1 -54.23 L 108.12 -54.11 L 107.98 -54,60.58,121.75,,,17175,9,,,,3851,10184,Lena_River
madison-7,Madison,,North America,1,M -111.31 -44.87 L -111.44 -44.83 L -111.59 -44.91 L -111.64 -45.09 L -111.73 -45.22 L -111.69 -45.4 L -111.51 -45.63 L -111.45 -45.99 L -111.39 -46.02 L -111.37 -46.12 L -111.52 -46.36|M -111.53 -46.38 L -111.7 -46.66 L -111.49 -46.49 L -111.53 -46.38 Z|M -111.19 -44.8 L -111.1 -44.76 L -111.22 -44.75 L -111.31 -44.87 L -111.19 -44.8 Z|M -111.1 -44.76 L -111.04 -44.67 L -110.9 -44.65 L -110.81 -44.66 L -110.74 -44.73,46.35,-111.51,,,,,,,,237,237,Madison_River
mississippi-156,Mississippi,,North America,1,M -94.51 -47.46 L -94.33 -47.41|M -94.08 -47.47 L -94.24 -47.36 L -94.34 -47.44 L -94.27 -47.51 L -94.08 -47.47 Z|M -94.09 -47.43 L -93.94 -47.3 L -93.79 -47.31 L -93.8 -47.22 L -93.63 -47.26 L -93.47 -47.2 L -93.38 -47.05 L -93.29 -47.01 L -93.38 -46.89 L -93.37 -46.79 L -93.44 -46.74 L -93.61 -46.68 L -93.72 -46.55 L -94.04 -46.57 L -94.11 -46.45 L -94.41 -46.23 L -94.35 -46.09 L -94.4 -45.93 L -94.37 -45.84 L -94.2 -45.68 L -94.22 -45.62 L -94.14 -45.5 L -93.81 -45.32 L -93.6 -45.3 L -93.44 -45.22 L -93.32 -45.15 L -93.2 -44.9 L -93.09 -44.95 L -93.01 -44.8 L -92.82 -44.76 L -92.58 -44.61 L -92.39 -44.58 L -92.29 -44.47 L -92.1 -44.44 L -91.95 -44.34 L -91.82 -44.16 L -91.65 -44.07 L -91.41 -44.02 L -91.3 -43.92 L -91.24 -43.74 L -91.25 -43.46 L -91.21 -43.37 L -91.09 -43.32 L -91.17 -43.16 L -91.08 -42.79 L -91.01 -42.72 L -90.7 -42.66 L -90.63 -42.54 L -90.64 -42.48 L -90.43 -42.35 L -90.4 -42.25 L -90.17 -42.12 L -90.14 -42.03 L -90.19 -41.83 L -90.31 -41.75 L -90.35 -41.61 L -90.66 -41.46 L -90.99 -41.43 L -91.05 -41.38 L -91.09 -41.21 L -90.97 -41.12 L -90.95 -40.98 L -91.08 -40.84 L -91.15 -40.67 L -91.4 -40.58 L -91.37 -40.4 L -91.47 -40.36 L -91.52 -40.17 L -91.45 -39.87 L -91.38 -39.74 L -90.77 -39.28 L -90.7 -39 L -90.63 -38.89 L -90.43 -38.97 L -90.18 -38.88 L -90.13 -38.82|M -90.13 -38.82 L -90.38 -38.34 L -90.37 -38.24 L -90.11 -38.02 L -89.72 -37.84 L -89.65 -37.73 L -89.52 -37.68 L -89.52 -37.54 L -89.44 -37.4 L -89.52 -37.27 L -89.38 -37.05 L -89.28 -37 L -89.31 -37.07 L -89.26 -37.08 L -89.19 -36.98 L -89.12 -36.98 L -89.13 -36.76 L -89.23 -36.58 L -89.37 -36.63 L -89.47 -36.46 L -89.51 -36.46 L -89.5 -36.55 L -89.57 -36.56 L -89.53 -36.38 L -89.63 -36.34 L -89.56 -36.26 L -89.69 -36.25 L -89.61 -36.14 L -89.72 -36.03 L -89.67 -35.9 L -89.76 -35.91 L -89.78 -35.88 L -89.72 -35.83 L -89.95 -35.72 L -89.92 -35.55 L -90.01 -35.51 L -90.12 -35.37 L -90.09 -35.15 L -90.18 -35.13 L -90.22 -35.05 L -90.31 -35.01 L -90.27 -34.92 L -90.46 -34.83 L -90.48 -34.74 L -90.55 -34.74 L -90.59 -34.42 L -90.76 -34.35|M -90.76 -34.35 L -90.76 -34.36|M -90.76 -34.35 L -90.77 -34.28 L -90.96 -34.16 L -90.88 -34.1 L -90.89 -34.04 L -91.09 -33.99 L -91.04 -33.93 L -91.06 -33.79 L -91.23 -33.68 L -91.15 -33.63 L -91.16 -33.59 L -91.24 -33.57 L -91.13 -33.48 L -91.18 -33.32 L -91.11 -33.28 L -91.09 -33.17 L -91.16 -33.12 L -91.17 -32.98 L -91.07 -32.92 L -91.16 -32.77 L -91.07 -32.71 L -91.17 -32.64 L -91.1 -32.57 L -91.11 -32.47 L -90.91 -32.31 L -91.03 -32.15 L -91.1 -32.14 L -91.09 -32.01 L -91.35 -31.84 L -91.44 -31.57 L -91.53 -31.5 L -91.5 -31.41 L -91.53 -31.29 L -91.65 -31.27 L -91.58 -31.06 L -91.66 -31 L -91.65 -30.95 L -91.52 -30.88 L -91.58 -30.76 L -91.37 -30.75 L -91.24 -30.57 L -91.28 -30.51 L -91.21 -30.52 L -91.19 -30.44 L -91.24 -30.36 L -91.16 -30.34 L -91.22 -30.29 L -91.12 -30.27 L -91.15 -30.2 L -91.05 -30.21 L -91.01 -30.13 L -90.92 -30.13 L -90.81 -30.01 L -90.5 -30.06 L -90.35 -29.95 L -89.94 -29.93 L -89.92 -29.88 L -89.97 -29.88 L -90.02 -29.79 L -89.96 -29.66 L -89.61 -29.46 L -89.6 -29.41 L -89.41 -29.35 L -89.27 -29.2 L -89.28 -29.1 L -89.41 -28.94|M -89.26 -29.15 L -89.03 -29.2|M -89.19 -29.32 L -89.27 -29.2|M -90.13 -38.82 L -90.35 -38.89 L -90.48 -38.81 L -90.57 -38.68 L -90.69 -38.68 L -90.93 -38.54 L -91.21 -38.62 L -91.34 -38.71 L -91.58 -38.68 L -91.71 -38.71 L -92.11 -38.56 L -92.35 -38.68 L -92.4 -38.81 L -92.57 -38.97 L -92.9 -39 L -92.94 -39.12 L -92.85 -39.22 L -93.19 -39.41 L -93.37 -39.23 L -93.49 -39.29 L -93.52 -39.22 L -93.86 -39.21 L -94.09 -39.14 L -94.29 -39.23 L -94.46 -39.12 L -94.6 -39.12 L -94.81 -39.21 L -94.9 -39.39 L -95.11 -39.55 L -94.97 -39.74 L -94.87 -39.74 L -94.88 -39.82 L -94.95 -39.9 L -95.09 -39.86 L -95.41 -40.03 L -95.47 -40.24 L -95.65 -40.31 L -95.7 -40.52 L -95.77 -40.55 L -95.77 -40.66 L -95.87 -40.73 L -95.83 -40.79 L -95.88 -41.06 L -95.85 -41.18 L -95.92 -41.22 L -95.87 -41.31 L -95.96 -41.34 L -95.92 -41.45 L -96 -41.48 L -95.99 -41.53 L -96.08 -41.55 L -96.06 -41.8 L -96.15 -41.9 L -96.15 -41.99 L -96.34 -42.18 L -96.4 -42.5 L -96.61 -42.53 L -96.71 -42.63 L -96.7 -42.67 L -97.13 -42.79 L -97.28 -42.88 L -97.84 -42.87 L -98.01 -42.78 L -98.55 -43.06|M -98.6 -43.1 L -98.88 -43.15 L -98.9 -43.23 L -99.32 -43.47 L -99.36 -43.63 L -99.49 -43.69 L -99.33 -43.85 L -99.36 -43.99 L -99.31 -43.86 L -99.45 -43.68 L -99.36 -43.65 L -99.29 -43.48 L -98.6 -43.1 Z|M -99.36 -43.99 L -99.56 -44.08 L -99.6 -44.21 L -99.71 -44.2 L -99.62 -44.16 L -99.62 -44.11 L -99.86 -44.13 L -99.94 -44.19 L -99.92 -44.26 L -100.33 -44.35 L -100.39 -44.44|M -100.25 -45.05 L -100.39 -45.01 L -100.38 -44.88 L -100.52 -44.76 L -100.69 -44.8 L -100.6 -44.72 L -100.61 -44.6 L -100.47 -44.61 L -100.55 -44.49 L -100.42 -44.5 L -100.4 -44.44 L -100.61 -44.46 L -100.66 -44.52 L -100.57 -44.55 L -100.69 -44.59 L -100.71 -44.74 L -101.22 -44.7 L -100.85 -44.81 L -100.88 -44.86 L -100.76 -44.82 L -100.76 -44.9 L -100.56 -44.78 L -100.55 -44.89 L -100.43 -44.89 L -100.47 -45.05 L -100.34 -45.05 L -100.34 -45.31 L -100.48 -45.37 L -100.71 -45.33 L -100.3 -45.39 L -100.67 -45.66 L -100.49 -45.61 L -100.34 -45.7 L -100.66 -46.1 L -100.69 -46.17 L -100.58 -46.23 L -100.59 -46.56 L -100.81 -46.72 L -100.55 -46.61 L -100.59 -46.09 L -100.41 -45.89 L -100.31 -45.91 L -100.37 -45.84 L -100.3 -45.7 L -100.45 -45.56 L -100.26 -45.4 L -100.31 -45.08 L -100.25 -45.05 Z|M -100.78 -46.71 L -100.93 -46.97 L -100.89 -47.06 L -100.99 -47.18 L -100.97 -47.25 L -101.15 -47.31 L -101.2 -47.25 L -101.34 -47.29 L -101.43 -47.48 L -101.4 -47.51|M -102.1 -47.54 L -102.31 -47.6 L -102.43 -47.53 L -102.28 -47.72 L -102.64 -47.82 L -102.65 -47.95 L -102.57 -48 L -102.82 -48.12 L -103.13 -48.14 L -103.48 -48 L -103.58 -48.13 L -103.77 -48.03 L -103.81 -48.09 L -103.57 -48.16 L -103.45 -48.05 L -103 -48.19 L -102.53 -48.03 L -102.63 -47.86 L -102.57 -47.82 L -102.41 -47.79 L -102.43 -47.97 L -102.24 -47.98 L -102.31 -47.92 L -102.25 -47.75 L -102.11 -47.74 L -102.21 -47.72 L -102.22 -47.63 L -101.65 -47.55 L -101.61 -47.61 L -101.15 -47.66 L -101.11 -47.58 L -101.38 -47.5 L -101.49 -47.55 L -101.89 -47.45 L -102.1 -47.54 Z|M -103.77 -48.03 L -103.86 -47.98 L -104.42 -48.13 L -104.86 -48.16 L -105.02 -48.07 L -105.45 -48.11 L -105.82 -48.02 L -106.09 -48.01 L -106.35 -48.07 L -106.41 -48.02|M -106.23 -47.62 L -106.31 -47.51 L -106.24 -47.65 L -106.45 -47.91 L -106.55 -47.72 L -106.64 -47.79 L -106.74 -47.69 L -106.84 -47.73 L -106.87 -47.61 L -106.87 -47.68 L -107.03 -47.62 L -107.02 -47.67 L -107.37 -47.7 L -107.42 -47.63 L -107.65 -47.63 L -107.95 -47.36 L -107.93 -47.57 L -108.2 -47.6 L -107.94 -47.6 L -107.86 -47.47 L -107.66 -47.66 L -107.72 -47.7 L -107.44 -47.64 L -107.33 -47.75 L -107.21 -47.68 L -106.92 -47.7 L -106.98 -47.77 L -106.76 -47.77 L -106.57 -47.87 L -106.55 -47.93 L -106.64 -47.96 L -106.35 -48.03 L -106.29 -47.95 L -106.37 -47.96 L -106.35 -47.86 L -106.22 -47.83 L -106.28 -47.81 L -106.23 -47.62 Z|M -108.19 -47.6 L -108.3 -47.58 L -108.43 -47.63 L -108.75 -47.66 L -108.78 -47.71 L -108.92 -47.74 L -108.94 -47.81 L -109.83 -47.73 L -110.05 -47.84 L -110.1 -48.01 L -110.19 -48.05 L -110.76 -47.77 L -110.89 -47.79 L -111.09 -47.58 L -111.29 -47.53 L -111.29 -47.41 L -111.51 -47.42 L -111.49 -47.39 L -111.94 -47.12 L -112 -47.04 L -111.89 -46.88 L -111.92 -46.82 L -111.78 -46.67 L -111.7 -46.66|M -111.53 -46.38 L -111.7 -46.66 L -111.49 -46.49 L -111.53 -46.38 Z|M -94.28 -47.19 L -94.22 -47.2 L -94.27 -47.11 L -94.38 -47.05 L -94.56 -47.16 L -94.59 -47.05 L -94.63 -47.14 L -94.61 -47.23 L -94.57 -47.17 L -94.44 -47.27 L -94.44 -47.2 L -94.29 -47.31 L -94.33 -47.17 L -94.28 -47.19 Z|M -95.18 -47.22 L -95.26 -47.33 L -95.15 -47.45 L -94.99 -47.45 L -94.83 -47.5 L -94.64 -47.44,39.12,-92.94,,,16792,11,,,,5275,10289,Mississippi_River
