id,name,symbol,atomic_number,row,column,category,atomic_weight,half_life,block,standard_state,density,electronegativity,year_discovered,name_alternates,wikipedia,melting_point,boiling_point,cost_usd_per_kg,cost_date
hydrogen,Hydrogen,H,1,0,0,nonmetal,1.008,,s,gas,0.00008988,2.2,1766,,Hydrogen,14.01,20.28,1.39,2012
helium,Helium,He,2,0,17,noble-gas,4.0026,,s,gas,0.0001785,,1868,,Helium,-,4.22,24,2018
lithium,Lithium,Li,3,1,0,alkali-metal,6.94,,s,solid,0.534,0.98,1817,,Lithium,453.65,1603,81.4,2020
beryllium,Beryllium,Be,4,1,1,alkaline-earth-metal,9.0122,,s,solid,1.85,1.57,1798,,Beryllium,1560,2742,857,2020
boron,Boron,B,5,1,12,metalloid,10.81,,p,solid,2.37,2.04,1808,,Boron,2349,4200,3.68,2019
carbon,Carbon,C,6,1,13,nonmetal,12.011,,p,solid,2.267,2.55,,,Carbon,-,3915,0.122,2018
nitrogen,Nitrogen,N,7,1,14,nonmetal,14.007,,p,gas,0.0012506,3.04,1772,,Nitrogen,63.23,77.36,0.14,2001
oxygen,Oxygen,O,8,1,15,nonmetal,15.999,,p,gas,0.001429,3.44,1774,,Oxygen,54.36,90.2,0.154,2001
fluorine,Fluorine,F,9,1,16,halogen,18.998,,p,gas,0.001696,3.98,1886,,Fluorine,53.53,85.03,1.84,2017
neon,Neon,Ne,10,1,17,noble-gas,20.18,,p,gas,0.0008999,,1898,,Neon,24.56,27.07,~240,1999
sodium,Sodium,Na,11,2,0,alkali-metal,22.99,,s,solid,0.97,0.93,1807,,Sodium,370.87,1156,2.57,2020
magnesium,Magnesium,Mg,12,2,1,alkaline-earth-metal,24.305,,s,solid,1.74,1.31,1808,,Magnesium,923,1363,2.32,2019
aluminium,Aluminium,Al,13,2,12,post-transition-metal,26.982,,p,solid,2.7,1.61,,Aluminum,Aluminium,933.47,2792,1.79,2019
silicon,Silicon,Si,14,2,13,metalloid,28.085,,p,solid,2.3296,1.9,1854,,Silicon,1687,3538,1.7,2019
phosphorus,Phosphorus,P,15,2,14,nonmetal,30.974,,p,solid,1.82,2.19,1669,,Phosphorus,317.3,553.65,2.69,2019
sulfur,Sulfur,S,16,2,15,nonmetal,32.06,,p,solid,2.067,2.58,,Sulphur,Sulfur,388.36,717.87,0.0926,2019
chlorine,Chlorine,Cl,17,2,16,halogen,35.45,,p,gas,0.003214,3.16,1774,,Chlorine,171.6,239.11,0.082,2013
argon,Argon,Ar,18,2,17,noble-gas,39.95,,p,gas,0.0017837,,1894,,Argon,83.8,87.3,0.931,2019
potassium,Potassium,K,19,3,0,alkali-metal,39.098,,s,solid,0.89,0.82,1807,,Potassium,336.53,1032,12.1,2020
calcium,Calcium,Ca,20,3,1,alkaline-earth-metal,40.078,,s,solid,1.54,1,,,Calcium,1115,1757,2.21,2020
scandium,Scandium,Sc,21,3,2,transition-metal,44.956,,d,solid,2.99,1.36,1879,,Scandium,1814,3109,~3460,2020
titanium,Titanium,Ti,22,3,3,transition-metal,47.867,,d,solid,4.5,1.54,1791,,Titanium,1941,3560,11.1,2020
