id,name,region,paths,latitude,longitude,name_alternates,wikipedia
andaman-and-nicobar,Andaman and Nicobar,South,M 93.92 -7.02 L 93.9 -6.81 L 93.83 -6.75 L 93.77 -6.92 L 93.65 -7.01 L 93.65 -7.12 L 93.68 -7.18 L 93.81 -7.24 L 93.92 -7.02 Z|M 93.73 -7.37 L 93.62 -7.26 L 93.59 -7.31 L 93.7 -7.45 L 93.73 -7.37 Z|M 93.43 -7.96 L 93.45 -7.87 L 93.35 -7.88 L 93.31 -7.95 L 93.37 -8.02 L 93.43 -7.96 Z|M 93.57 -8 L 93.57 -7.92 L 93.51 -7.98 L 93.57 -8 Z|M 93.53 -8.03 L 93.48 -7.99 L 93.52 -8.06 L 93.47 -8.07 L 93.45 -8.15 L 93.5 -8.23 L 93.53 -8.03 Z|M 93.13 -8.24 L 93.07 -8.27 L 93.08 -8.36 L 93.13 -8.24 Z|M 93.61 -8.55 L 93.6 -8.44 L 93.61 -8.55 Z|M 92.81 -9.23 L 92.83 -9.15 L 92.8 -9.11 L 92.73 -9.13 L 92.71 -9.2 L 92.75 -9.26 L 92.81 -9.23 Z|M 92.59 -10.77 L 92.54 -10.52 L 92.38 -10.53 L 92.42 -10.63 L 92.38 -10.78 L 92.43 -10.85 L 92.53 -10.9 L 92.59 -10.77 Z|M 92.68 -11.41 L 92.67 -11.37 L 92.59 -11.38 L 92.64 -11.51 L 92.7 -11.45 L 92.68 -11.41 Z|M 92.27 -11.59 L 92.25 -11.53 L 92.22 -11.6 L 92.27 -11.59 Z|M 93.04 -11.96 L 93.05 -11.9 L 92.95 -11.99 L 93.01 -12.04 L 93.04 -11.96 Z|M 93.1 -12.19 L 93.09 -12.09 L 93.06 -12.15 L 93.1 -12.19 Z|M 92.73 -12.97 L 92.68 -12.8 L 92.68 -12.96 L 92.73 -12.97 Z|M 93.05 -13.28 L 93.04 -13.06 L 92.98 -13.03 L 92.96 -13.08 L 92.94 -13.07 L 92.95 -12.97 L 92.91 -12.98 L 92.88 -12.92 L 92.96 -12.86 L 92.99 -12.52 L 92.94 -12.42 L 92.85 -12.43 L 92.92 -12.34 L 92.88 -12.31 L 92.89 -12.21 L 92.76 -12.08 L 92.79 -12.04 L 92.74 -11.98 L 92.74 -11.88 L 92.76 -11.94 L 92.8 -11.9 L 92.76 -11.71 L 92.68 -11.65 L 92.7 -11.61 L 92.74 -11.68 L 92.76 -11.66 L 92.72 -11.49 L 92.63 -11.6 L 92.65 -11.64 L 92.56 -11.73 L 92.57 -11.83 L 92.52 -11.86 L 92.57 -11.93 L 92.62 -11.87 L 92.68 -12.22 L 92.72 -12.23 L 92.73 -12.17 L 92.79 -12.21 L 92.76 -12.27 L 92.79 -12.3 L 92.72 -12.36 L 92.72 -12.6 L 92.78 -12.66 L 92.74 -12.81 L 92.8 -12.86 L 92.83 -13 L 92.85 -13.34 L 92.95 -13.54 L 93.04 -13.57 L 93.08 -13.4 L 92.98 -13.35 L 93.05 -13.28 Z|M 93.04 -13.67 L 92.99 -13.67 L 93.04 -13.67 Z,6.83654,93.7895,Andaman & Nicobar Islands|Andaman et Nicobar|Iihas de Andama e Nicobar|Inseln Andamanen und Nikobare,Andaman_and_Nicobar
andhra-pradesh,Andhra Pradesh,South,M 80.97 -15.8 L 80.94 -15.74 L 80.87 -15.81 L 80.89 -15.85 L 80.97 -15.8 Z|M 80.28 -13.51 L 80.14 -13.73 L 80.14 -13.62 L 80.09 -13.69 L 80.06 -13.6 L 80.12 -13.5 L 80.26 -13.47 L 80.1 -13.46 L 80.11 -13.51 L 80.03 -13.53 L 80.05 -13.48 L 79.96 -13.37 L 79.76 -13.29 L 79.78 -13.22 L 79.7 -13.24 L 79.68 -13.29 L 79.45 -13.33 L 79.42 -13.22 L 79.31 -13.13 L 79.25 -13.15 L 79.16 -13.04 L 78.96 -13.09 L 78.9 -13.04 L 78.86 -13.08 L 78.72 -13.06 L 78.64 -12.99 L 78.58 -12.77 L 78.5 -12.74 L 78.45 -12.64 L 78.3 -12.68 L 78.23 -12.76 L 78.24 -12.85 L 78.33 -12.86 L 78.36 -12.92 L 78.47 -12.87 L 78.41 -12.94 L 78.51 -13.08 L 78.57 -13.27 L 78.38 -13.32 L 78.37 -13.59 L 78.23 -13.59 L 78.07 -13.66 L 78.11 -13.71 L 78.08 -13.86 L 78.03 -13.88 L 77.92 -13.83 L 77.94 -13.96 L 77.88 -13.92 L 77.79 -13.94 L 77.79 -13.87 L 77.67 -13.76 L 77.61 -13.78 L 77.45 -13.7 L 77.39 -13.84 L 77.16 -13.87 L 77.14 -13.91 L 77.1 -13.86 L 77.13 -13.77 L 76.96 -13.77 L 77.01 -13.91 L 76.88 -14.16 L 76.97 -14.17 L 77 -14.07 L 77.11 -14.01 L 77.29 -14.01 L 77.33 -13.91 L 77.39 -13.89 L 77.33 -14.12 L 77.47 -14.19 L 77.46 -14.29 L 77.38 -14.34 L 77.38 -14.24 L 77.26 -14.33 L 77.13 -14.34 L 77.07 -14.23 L 76.91 -14.26 L 76.92 -14.3 L 76.86 -14.38 L 76.93 -14.47 L 76.83 -14.48 L 76.74 -14.61 L 76.82 -14.92 L 76.72 -14.99 L 76.76 -15.09 L 77.03 -15.01 L 77.13 -15.14 L 77.1 -15.31 L 77.03 -15.35 L 76.97 -15.51 L 77.01 -15.51 L 77.01 -15.64 L 77.08 -15.67 L 77.03 -15.76 L 77.03 -15.87 L 77.23 -15.98 L 77.66 -15.9 L 77.9 -15.92 L 78.1 -15.83 L 78.24 -15.95 L 78.24 -16.04 L 78.5 -16.09 L 78.79 -16.03 L 78.85 -16.15 L 78.9 -16.14 L 79.02 -16.25 L 79.21 -16.24 L 79.21 -16.49 L 79.27 -16.57 L 79.77 -16.73 L 79.96 -16.63 L 80.07 -16.82 L 80.01 -16.9 L 80.15 -17.02 L 80.25 -17.02 L 80.39 -16.84 L 80.6 -16.79 L 80.59 -16.93 L 80.38 -16.98 L 80.4 -17.08 L 80.47 -17.04 L 80.5 -17.11 L 80.59 -17.14 L 80.67 -17.08 L 80.86 -17.05 L 80.93 -17.19 L 81.41 -17.37 L 81.47 -17.42 L 81.57 -17.7 L 81.78 -17.83 L 81.76 -17.91 L 82.04 -18.04 L 82.24 -17.99 L 82.33 -18.04 L 82.36 -18.14 L 82.31 -18.21 L 82.44 -18.52 L 82.5 -18.51 L 82.51 -18.42 L 82.6 -18.33 L 82.58 -18.25 L 82.64 -18.23 L 82.77 -18.34 L 82.8 -18.43 L 82.9 -18.36 L 83.04 -18.39 L 83.08 -18.53 L 83.03 -18.64 L 83.13 -18.76 L 83.2 -18.74 L 83.39 -18.85 L 83.3 -18.99 L 83.45 -18.97 L 83.46 -19.07 L 83.52 -19.01 L 83.61 -19.13 L 83.74 -18.93 L 83.75 -19 L 83.8 -19 L 83.9 -18.81 L 84.16 -18.79 L 84.34 -18.82 L 84.47 -18.95 L 84.47 -19.03 L 84.67 -19.09 L 84.69 -19.16 L 84.76 -19.16 L 84.78 -19.12 L 84.74 -19.15 L 84.72 -19.1 L 84.78 -19.09 L 84.68 -18.95 L 84.42 -18.64 L 84.25 -18.53 L 84.27 -18.5 L 84.35 -18.55 L 84.11 -18.3 L 83.45 -17.92 L 83.34 -17.72 L 83.25 -17.72 L 83.3 -17.66 L 83.21 -17.63 L 83.24 -17.59 L 82.72 -17.35 L 82.37 -17.11 L 82.25 -16.93 L 82.31 -16.85 L 82.36 -16.86 L 82.35 -16.96 L 82.37 -16.91 L 82.34 -16.68 L 82.31 -16.61 L 82.28 -16.62 L 82.31 -16.58 L 81.76 -16.32 L 81.56 -16.37 L 81.42 -16.34 L 81.41 -16.38 L 81.26 -16.33 L 81.15 -15.97 L 81 -15.85 L 81.01 -15.78 L 80.91 -15.85 L 80.9 -16.03 L 80.89 -15.9 L 80.81 -15.72 L 80.78 -15.88 L 80.67 -15.91 L 80.39 -15.8 L 80.28 -15.7 L 80.09 -15.3 L 80.05 -15.09 L 80.11 -14.71 L 80.18 -14.61 L 80.14 -14.57 L 80.2 -14.57 L 80.17 -14.34 L 80.05 -14.21 L 80.14 -14.23 L 80.28 -13.51 Z,16.4854,79.208,,Andhra_Pradesh
arunachal-pradesh,Arunachal Pradesh,Northeast,M 96.29 -28.99 L 96.37 -29.04 L 96.46 -28.99 L 96.6 -28.71 L 96.5 -28.69 L 96.3 -28.42 L 96.37 -28.38 L 96.56 -28.45 L 96.72 -28.44 L 96.97 -28.33 L 97.08 -28.38 L 97.32 -28.22 L 97.29 -28.1 L 97.36 -27.99 L 97.33 -27.89 L 97.22 -27.9 L 96.86 -27.6 L 96.88 -27.44 L 97.1 -27.18 L 97.13 -27.13 L 97.11 -27.08 L 96.87 -27.17 L 96.85 -27.25 L 96.71 -27.36 L 96.59 -27.35 L 96.51 -27.29 L 96.14 -27.26 L 96.01 -27.19 L 95.92 -27.05 L 95.78 -27 L 95.7 -26.9 L 95.49 -26.81 L 95.39 -26.69 L 95.25 -26.65 L 95.2 -26.84 L 95.23 -26.95 L 95.19 -27.04 L 95.42 -27.14 L 95.53 -27.27 L 95.64 -27.23 L 95.9 -27.28 L 96.01 -27.37 L 95.98 -27.45 L 95.89 -27.4 L 95.89 -27.56 L 95.8 -27.63 L 95.78 -27.72 L 95.96 -27.99 L 95.72 -27.99 L 95.41 -27.87 L 95.3 -27.9 L 94.53 -27.6 L 94.35 -27.59 L 94.24 -27.65 L 94.21 -27.61 L 94.24 -27.53 L 93.85 -27.2 L 93.83 -27.1 L 93.69 -27.01 L 93.46 -26.95 L 93.38 -26.99 L 93.02 -26.95 L 92.7 -27.07 L 92.33 -26.94 L 92.08 -26.92 L 91.99 -27.1 L 92.09 -27.29 L 92.02 -27.45 L 91.73 -27.46 L 91.6 -27.55 L 91.57 -27.62 L 91.64 -27.78 L 91.56 -27.85 L 91.83 -27.81 L 91.86 -27.73 L 91.95 -27.72 L 92.24 -27.87 L 92.3 -27.79 L 92.39 -27.86 L 92.43 -27.82 L 92.57 -27.85 L 92.74 -27.99 L 92.64 -28.06 L 92.68 -28.13 L 92.97 -28.28 L 93.21 -28.34 L 93.19 -28.43 L 93.32 -28.6 L 93.45 -28.67 L 93.93 -28.68 L 93.99 -28.84 L 94.25 -28.93 L 94.35 -29.02 L 94.27 -29.1 L 94.29 -29.15 L 94.51 -29.22 L 94.6 -29.32 L 94.7 -29.28 L 94.78 -29.17 L 94.99 -29.15 L 95.37 -29.04 L 95.49 -29.07 L 95.52 -29.21 L 95.56 -29.25 L 95.72 -29.22 L 95.74 -29.34 L 96.14 -29.37 L 96.24 -29.24 L 96.37 -29.26 L 96.32 -29.17 L 96.17 -29.11 L 96.2 -28.94 L 96.29 -28.99 Z,28.4056,94.4673,Agence de la Frontisre du Nord-Est(French-obsolete)|North East Frontier Agency,Arunachal_Pradesh
assam,Assam,Northeast,M 89.86 -26.72 L 90.13 -26.75 L 90.18 -26.83 L 90.35 -26.9 L 90.59 -26.78 L 90.72 -26.77 L 91.06 -26.8 L 91.3 -26.77 L 91.42 -26.87 L 91.52 -26.8 L 91.83 -26.86 L 91.88 -26.8 L 91.89 -26.88 L 92.04 -26.85 L 92.08 -26.92 L 92.33 -26.94 L 92.7 -27.07 L 93.02 -26.95 L 93.38 -26.99 L 93.48 -26.95 L 93.69 -27.01 L 93.83 -27.1 L 93.85 -27.2 L 94.24 -27.53 L 94.21 -27.61 L 94.24 -27.65 L 94.35 -27.59 L 94.53 -27.6 L 95.3 -27.9 L 95.41 -27.87 L 95.72 -27.99 L 95.97 -27.99 L 95.78 -27.72 L 95.8 -27.63 L 95.89 -27.56 L 95.89 -27.4 L 95.98 -27.45 L 96.01 -27.37 L 95.9 -27.28 L 95.64 -27.23 L 95.51 -27.26 L 95.42 -27.14 L 95.02 -26.93 L 94.92 -26.95 L 94.77 -26.79 L 94.49 -26.68 L 94.35 -26.49 L 94.27 -26.55 L 94.17 -26.36 L 94.01 -26.18 L 93.95 -25.89 L 93.78 -25.83 L 93.8 -25.95 L 93.69 -25.93 L 93.71 -25.86 L 93.34 -25.55 L 93.44 -25.42 L 93.46 -25.32 L 93.26 -25.04 L 93.28 -24.97 L 93.2 -24.82 L 93.12 -24.8 L 93.04 -24.41 L 92.84 -24.37 L 92.76 -24.48 L 92.62 -24.24 L 92.48 -24.13 L 92.43 -24.15 L 92.42 -24.24 L 92.22 -24.26 L 92.26 -24.4 L 92.23 -24.5 L 92.15 -24.54 L 92.23 -24.78 L 92.22 -24.87 L 92.25 -24.9 L 92.38 -24.84 L 92.48 -24.86 L 92.48 -24.93 L 92.38 -25 L 92.56 -25.15 L 92.81 -25.23 L 92.79 -25.35 L 92.58 -25.49 L 92.68 -25.61 L 92.59 -25.59 L 92.38 -25.76 L 92.17 -25.69 L 92.21 -25.92 L 92.18 -25.98 L 92.26 -26.08 L 91.92 -26.04 L 91.81 -26.09 L 91.67 -25.93 L 91.63 -25.94 L 91.64 -26.03 L 91.59 -26.03 L 91.47 -25.9 L 91.53 -25.89 L 91.36 -25.84 L 91.22 -25.73 L 91.2 -25.87 L 91.03 -25.84 L 90.97 -25.94 L 90.64 -25.93 L 90.61 -25.97 L 90.53 -25.91 L 90.55 -25.98 L 90.4 -26.02 L 90.14 -25.96 L 89.94 -25.73 L 90 -25.58 L 89.9 -25.55 L 89.88 -25.47 L 89.81 -25.44 L 89.83 -25.63 L 89.78 -25.81 L 89.83 -25.98 L 89.76 -26.03 L 89.72 -26.15 L 89.66 -26.16 L 89.83 -26.33 L 89.89 -26.53 L 89.86 -26.72 Z,26.3302,92.9929,,Assam
bihar,Bihar,East,M 87.65 -26.41 L 87.87 -26.46 L 88.01 -26.37 L 88.09 -26.54 L 88.19 -26.55 L 88.28 -26.43 L 88.25 -26.4 L 88.3 -26.34 L 87.97 -26.14 L 87.79 -25.91 L 88.04 -25.68 L 88.07 -25.49 L 87.96 -25.53 L 87.77 -25.44 L 87.74 -25.4 L 87.84 -25.29 L 87.78 -25.21 L 87.52 -25.32 L 87.42 -25.19 L 87.3 -25.18 L 87.26 -25.06 L 87.19 -25.06 L 87.12 -24.99 L 87.04 -24.59 L 86.92 -24.61 L 86.89 -24.53 L 86.76 -24.59 L 86.7 -24.55 L 86.59 -24.56 L 86.49 -24.48 L 86.45 -24.34 L 86.28 -24.43 L 86.29 -24.55 L 86.14 -24.57 L 86.04 -24.75 L 85.91 -24.7 L 85.85 -24.76 L 85.75 -24.77 L 85.65 -24.65 L 85.66 -24.56 L 85.58 -24.56 L 85.53 -24.5 L 85.28 -24.49 L 85.09 -24.34 L 85.08 -24.39 L 84.91 -24.35 L 84.8 -24.5 L 84.48 -24.3 L 84.31 -24.44 L 84.31 -24.53 L 84.2 -24.52 L 84.19 -24.48 L 84.16 -24.51 L 84.13 -24.47 L 84.02 -24.64 L 83.92 -24.54 L 83.52 -24.53 L 83.52 -24.75 L 83.35 -24.88 L 83.32 -25.08 L 83.38 -25.24 L 83.89 -25.52 L 84.14 -25.74 L 84.21 -25.73 L 84.22 -25.66 L 84.28 -25.64 L 84.32 -25.66 L 84.31 -25.74 L 84.36 -25.76 L 84.52 -25.7 L 84.61 -25.77 L 84.37 -25.94 L 84.24 -25.94 L 83.99 -26.21 L 84.01 -26.25 L 84.19 -26.28 L 84.19 -26.39 L 84.02 -26.47 L 83.93 -26.46 L 83.93 -26.55 L 83.96 -26.52 L 84.05 -26.56 L 84.1 -26.65 L 84.39 -26.65 L 84.25 -26.76 L 84.23 -26.89 L 84.15 -26.88 L 84.07 -26.92 L 83.89 -27.32 L 83.85 -27.33 L 83.88 -27.37 L 83.83 -27.43 L 84.01 -27.44 L 84.1 -27.52 L 84.29 -27.38 L 84.58 -27.33 L 84.66 -27.2 L 84.64 -27.03 L 84.82 -27.01 L 85.02 -26.85 L 85.16 -26.85 L 85.19 -26.76 L 85.29 -26.74 L 85.61 -26.85 L 85.7 -26.8 L 85.71 -26.65 L 85.83 -26.57 L 86.01 -26.65 L 86.2 -26.58 L 86.28 -26.61 L 86.71 -26.41 L 87.04 -26.58 L 87.11 -26.4 L 87.22 -26.41 L 87.3 -26.35 L 87.42 -26.43 L 87.59 -26.38 L 87.65 -26.41 Z,25.6853,85.8134,,Bihar
chandigarh,Chandigarh,North,M 76.77 -30.8 L 76.81 -30.79 L 76.83 -30.68 L 76.7 -30.75 L 76.77 -30.8 Z,30.7452,76.7605,,Chandigarh
chhattisgarh,Chhattisgarh,Central,M 83.09 -23.91 L 83.22 -23.95 L 83.34 -24.14 L 83.51 -24.08 L 83.54 -23.96 L 83.71 -23.8 L 83.76 -23.6 L 83.92 -23.56 L 83.92 -23.62 L 83.99 -23.64 L 84.01 -23.55 L 83.94 -23.38 L 84.03 -23.36 L 84.03 -23.15 L 84.12 -23 L 84.32 -22.99 L 84.35 -22.89 L 84.19 -22.7 L 83.99 -22.59 L 84 -22.44 L 83.96 -22.38 L 83.62 -22.21 L 83.56 -22.13 L 83.57 -22.06 L 83.51 -21.97 L 83.57 -21.92 L 83.56 -21.85 L 83.47 -21.8 L 83.33 -21.5 L 83.38 -21.34 L 83.28 -21.36 L 83.14 -21.12 L 82.96 -21.18 L 82.66 -21.15 L 82.46 -20.86 L 82.35 -20.87 L 82.34 -20.54 L 82.42 -20.45 L 82.42 -20.07 L 82.61 -19.99 L 82.7 -20 L 82.71 -19.85 L 82.59 -19.77 L 82.58 -19.84 L 82.48 -19.87 L 82.36 -19.88 L 82.3 -19.82 L 82.22 -19.97 L 82.09 -20.05 L 82.02 -20.01 L 81.94 -20.11 L 81.87 -20.05 L 81.82 -19.92 L 82.04 -19.77 L 82.03 -19.51 L 82.17 -19.41 L 82.15 -19.23 L 82.22 -18.92 L 82.17 -18.87 L 82.14 -18.75 L 82.1 -18.77 L 81.9 -18.63 L 81.95 -18.57 L 81.73 -18.35 L 81.54 -18.26 L 81.39 -17.81 L 81.16 -17.84 L 81.03 -17.78 L 80.94 -18.07 L 80.96 -18.15 L 80.87 -18.14 L 80.83 -18.22 L 80.74 -18.17 L 80.77 -18.25 L 80.67 -18.45 L 80.5 -18.6 L 80.35 -18.59 L 80.26 -18.74 L 80.35 -18.83 L 80.27 -18.98 L 80.41 -19.25 L 80.58 -19.39 L 80.72 -19.26 L 80.83 -19.33 L 80.81 -19.4 L 80.9 -19.47 L 80.7 -19.6 L 80.54 -19.81 L 80.48 -19.77 L 80.41 -19.79 L 80.49 -19.85 L 80.43 -19.89 L 80.44 -19.93 L 80.53 -19.92 L 80.56 -20.05 L 80.53 -20.13 L 80.42 -20.15 L 80.42 -20.23 L 80.62 -20.33 L 80.63 -20.51 L 80.61 -20.61 L 80.49 -20.6 L 80.57 -20.7 L 80.55 -20.92 L 80.47 -20.94 L 80.44 -21 L 80.46 -21.14 L 80.68 -21.3 L 80.74 -21.74 L 80.82 -21.8 L 80.9 -22.09 L 81 -22.06 L 80.99 -22.11 L 81.12 -22.29 L 81.16 -22.47 L 81.23 -22.44 L 81.36 -22.5 L 81.42 -22.44 L 81.64 -22.55 L 81.77 -22.66 L 81.78 -22.84 L 81.94 -22.95 L 81.95 -23.04 L 82.14 -23.11 L 82.19 -23.29 L 82.12 -23.36 L 82.03 -23.37 L 81.93 -23.5 L 81.76 -23.54 L 81.63 -23.49 L 81.59 -23.56 L 81.69 -23.71 L 81.62 -23.87 L 81.68 -23.89 L 81.81 -23.79 L 81.94 -23.84 L 82.5 -23.77 L 82.77 -23.93 L 82.8 -24 L 82.94 -23.92 L 83.09 -23.91 Z,21.8044,82.3069,,Chhattisgarh
dadra-and-nagar-haveli-and-daman-and-diu,Dadra and Nagar Haveli and Daman and Diu,West,M 71.01 -20.74 L 70.97 -20.71 L 71.01 -20.74 Z|M 72.82 -20.38 L 72.86 -20.46 L 72.88 -20.39 L 72.82 -20.38 Z|M 73.07 -20.34 L 73.12 -20.28 L 73.04 -20.21 L 73.04 -20.16 L 73.17 -20.16 L 73.14 -20.03 L 73 -20.04 L 72.89 -20.23 L 73.07 -20.34 Z,20.1841,73.029,DAdra et Nagar Haveli|Dadra e Nagar Haveli|Dadra and Nagar Haveli,Dadra_and_Nagar_Haveli_and_Daman_and_Diu
delhi,Delhi,Central,M 77.2 -28.88 L 77.31 -28.71 L 77.33 -28.52 L 77.19 -28.43 L 77 -28.56 L 76.87 -28.52 L 76.83 -28.58 L 76.95 -28.7 L 76.94 -28.83 L 77.07 -28.88 L 77.2 -28.88 Z,28.69,77.0856,,Delhi
goa,Goa,West,M 74.09 -14.89 L 73.91 -15.08 L 73.96 -15.15 L 73.89 -15.34 L 73.78 -15.41 L 73.97 -15.37 L 73.8 -15.45 L 73.87 -15.54 L 73.75 -15.51 L 73.74 -15.6 L 73.84 -15.66 L 73.73 -15.62 L 73.7 -15.66 L 73.69 -15.71 L 73.83 -15.78 L 73.96 -15.62 L 74.17 -15.65 L 74.24 -15.62 L 74.24 -15.45 L 74.3 -15.29 L 74.24 -15.25 L 74.29 -15.19 L 74.27 -15.03 L 74.23 -14.94 L 74.09 -14.89 Z,15.3133,73.9951,Gôa,Goa
