id,name,region,paths,latitude,longitude,name_alternates
aceh,Aceh,Sumatra,"M 98.1 -2.19 L 97.96 -2.27 L 97.74 -2.28 L 97.66 -2.41 L 97.6 -2.87 L 97.41 -2.94 L 97.27 -3.21 L 97.17 -3.25 L 96.88 -3.68 L 96.76 -3.75 L 96.48 -3.78 L 96.2 -4.12 L 96.01 -4.23 L 95.73 -4.53 L 95.57 -4.64 L 95.28 -5.12 L 95.29 -5.19 L 95.2 -5.29 L 95.25 -5.41 L 95.21 -5.57 L 95.43 -5.65 L 95.51 -5.6 L 95.61 -5.63 L 95.89 -5.51 L 95.93 -5.41 L 96.09 -5.3 L 96.41 -5.22 L 96.97 -5.27 L 97.23 -5.15 L 97.5 -5.25 L 97.91 -4.89 L 98.01 -4.63 L 98 -4.55 L 98.21 -4.5 L 98.28 -4.36 L 98.27 -4.29 L 98.07 -4.25 L 98 -3.98 L 97.93 -3.9 L 97.89 -3.92 L 97.89 -3.85 L 97.78 -3.74 L 97.99 -3.33 L 97.86 -3.26 L 97.94 -3.13 L 97.89 -3.08 L 97.91 -2.92 L 98.06 -2.81 L 98.07 -2.69 L 98.03 -2.58 L 98.13 -2.33 L 98.1 -2.19 Z|M 97.15 -2.06 L 97.1 -2.02 L 97.07 -2.09 L 97.12 -2.11 L 97.15 -2.06 Z|M 96.64 -2.13 L 96.67 -2.1 L 96.62 -2.07 L 96.64 -2.13 Z|M 97.33 -2.15 L 97.32 -2.03 L 97.21 -2.18 L 97.1 -2.21 L 97.28 -2.23 L 97.33 -2.15 Z|M 96.48 -2.41 L 96.48 -2.36 L 96.33 -2.36 L 96.29 -2.44 L 96.07 -2.58 L 95.79 -2.65 L 95.7 -2.83 L 95.78 -2.85 L 95.79 -2.94 L 95.91 -2.91 L 95.88 -2.85 L 96.13 -2.73 L 96.1 -2.65 L 96.16 -2.65 L 96.16 -2.68 L 96.38 -2.47 L 96.42 -2.51 L 96.48 -2.41 Z|M 95.18 -5.63 L 95.16 -5.59 L 95.11 -5.62 L 95.14 -5.66 L 95.18 -5.63 Z|M 95.12 -5.71 L 95.12 -5.67 L 95.06 -5.66 L 95.06 -5.73 L 95.01 -5.74 L 95.12 -5.71 Z|M 95.34 -5.9 L 95.38 -5.81 L 95.36 -5.83 L 95.34 -5.78 L 95.21 -5.9 L 95.28 -5.86 L 95.34 -5.9 Z",4.41533,96.9956,"Achin|Atjeh|Nanggroe Aceh Darussalam"
bali,Bali,Lesser Sunda,"M 115.55 8.67 L 115.62 8.77 L 115.59 8.81 L 115.47 8.73 L 115.55 8.67 Z|M 115.62 8.29 L 115.71 8.38 L 115.7 8.42 L 115.32 8.62 L 115.2 8.75 L 115.23 8.83 L 115.13 8.85 L 115.09 8.82 L 115.18 8.75 L 115.16 8.66 L 114.93 8.47 L 114.6 8.39 L 114.47 8.22 L 114.45 8.12 L 114.5 8.09 L 114.86 8.19 L 115.02 8.17 L 115.19 8.06 L 115.5 8.17 L 115.62 8.29 Z",-8.3412,115.179,"Penida|Lembongan|Ceningan|Menjangan"
bangka-belitung-islands,Bangka Belitung Islands,Sumatra,"M 106.91 2.93 L 106.86 3.03 L 106.72 2.97 L 106.81 2.89 L 106.91 2.93 Z|M 107.1 2.86 L 107.08 2.91 L 107.02 2.88 L 107.06 2.82 L 107.1 2.86 Z|M 107.4 2.87 L 107.48 2.82 L 107.5 2.85 L 107.41 2.95 L 107.34 2.89 L 107.4 2.87 Z|M 108.29 2.85 L 108.2 3.01 L 108.21 3.14 L 108.09 3.16 L 108.07 3.23 L 107.98 3.24 L 107.97 3.15 L 107.87 3.05 L 107.83 3.07 L 107.82 3.17 L 107.6 3.23 L 107.64 3.13 L 107.58 3.01 L 107.61 2.92 L 107.55 2.92 L 107.6 2.87 L 107.67 2.56 L 107.83 2.53 L 108.01 2.58 L 108.03 2.64 L 108.1 2.61 L 108.27 2.76 L 108.29 2.85 Z|M 106.77 2.56 L 106.83 2.58 L 106.72 2.63 L 106.6 2.91 L 106.74 3 L 106.75 3.07 L 106.53 3.11 L 106.44 2.97 L 105.99 2.82 L 105.91 2.67 L 105.94 2.5 L 105.83 2.4 L 105.78 2.15 L 105.57 2.07 L 105.31 2.14 L 105.23 2.07 L 105.15 2.08 L 105.14 1.97 L 105.4 1.78 L 105.34 1.7 L 105.35 1.65 L 105.57 1.53 L 105.7 1.66 L 105.66 1.74 L 105.81 1.79 L 105.7 1.53 L 105.91 1.49 L 106.04 1.58 L 106.04 1.68 L 106.18 1.89 L 106.2 2.18 L 106.32 2.43 L 106.77 2.56 Z",-2.95817,106.819,"Bangka-Belitung|Babel|Kepulauan Bangka Belitung"
banten,Banten,Java,"M 106.4 6.99 L 106.29 6.99 L 106.01 6.82 L 105.54 6.87 L 105.36 6.81 L 105.27 6.85 L 105.22 6.77 L 105.36 6.66 L 105.49 6.81 L 105.62 6.63 L 105.64 6.48 L 105.71 6.53 L 105.78 6.51 L 105.87 6.11 L 106.02 5.89 L 106.09 5.89 L 106.12 5.99 L 106.18 6.01 L 106.26 5.94 L 106.47 6.03 L 106.66 6.01 L 106.73 6.05 L 106.68 6.1 L 106.77 6.37 L 106.49 6.38 L 106.45 6.34 L 106.42 6.37 L 106.43 6.7 L 106.51 6.77 L 106.4 6.99 Z|M 105.26 6.53 L 105.26 6.63 L 105.2 6.67 L 105.18 6.58 L 105.12 6.63 L 105.26 6.53 Z",-6.25794,106.167,
bengkulu,Bengkulu,Sumatra,"M 103.61 4.92 L 103.41 4.87 L 103.17 4.62 L 102.92 4.49 L 102.7 4.27 L 102.31 3.99 L 102.31 3.87 L 102.22 3.64 L 101.64 3.25 L 101.33 2.74 L 101.1 2.59 L 101.03 2.48 L 101.44 2.24 L 101.74 2.64 L 102.07 2.78 L 102.23 2.96 L 102.21 3.02 L 102.25 3.07 L 102.47 3.12 L 102.46 3.24 L 102.55 3.34 L 102.63 3.37 L 102.77 3.28 L 102.86 3.37 L 103 3.41 L 102.99 3.58 L 102.88 3.57 L 102.9 3.63 L 102.63 3.81 L 102.8 3.98 L 103.13 4.03 L 103.2 4.27 L 103.6 4.39 L 103.77 4.8 L 103.61 4.92 Z|M 102.41 5.4 L 102.37 5.44 L 102.39 5.48 L 102.28 5.5 L 102.1 5.33 L 102.17 5.28 L 102.41 5.4 Z",-3.48606,102.368,"Bencoolen|Benkoelen|Benkulen"
central-java,Central Java,Java,"M 108.9 6.81 L 108.97 6.85 L 109.02 6.79 L 109.14 6.86 L 109.35 6.88 L 109.49 6.8 L 109.94 6.92 L 110.18 6.86 L 110.38 6.98 L 110.49 6.94 L 110.57 6.84 L 110.67 6.5 L 110.92 6.4 L 111.05 6.46 L 111.14 6.69 L 111.37 6.71 L 111.49 6.62 L 111.67 6.73 L 111.6 6.96 L 111.61 7.15 L 111.44 7.31 L 111.2 7.27 L 111.19 7.71 L 111.29 7.76 L 111.31 7.84 L 111.27 7.95 L 111.22 7.94 L 110.98 8.1 L 110.94 8.23 L 110.84 8.2 L 110.8 8.13 L 110.78 7.85 L 110.54 7.81 L 110.44 7.56 L 110.26 7.72 L 110.25 7.67 L 110.14 7.68 L 110.04 7.89 L 109.66 7.78 L 109.43 7.77 L 109.37 7.71 L 109.1 7.69 L 109.01 7.73 L 108.9 7.69 L 108.87 7.61 L 108.8 7.66 L 108.73 7.6 L 108.71 7.4 L 108.55 7.28 L 108.58 7.15 L 108.71 7.14 L 108.78 7.07 L 108.8 6.93 L 108.9 6.81 Z|M 109.02 7.76 L 108.82 7.74 L 108.8 7.7 L 109.02 7.76 Z|M 110.43 5.84 L 110.47 5.84 L 110.44 5.88 L 110.43 5.84 Z",-7.2901,109.896,"Jawa Tengah|Jateng"
central-kalimantan,Central Kalimantan,Kalimantan,M 114.31 3.43 L 114.27 3.38 L 114.36 3.21 L 114.19 3.38 L 114.11 3.35 L 114.12 3.19 L 114.04 3.36 L 113.81 3.46 L 113.63 3.46 L 113.61 3.17 L 113.49 3.17 L 113.37 3.25 L 113.3 3.16 L 113.35 3.27 L 113.2 3.09 L 113.1 3.04 L 113.04 2.92 L 113.02 3.04 L 112.94 3.11 L 113.02 3.16 L 112.64 3.42 L 112.55 3.44 L 112.35 3.32 L 112.2 3.33 L 111.89 3.57 L 111.81 3.53 L 111.83 3.06 L 111.73 2.8 L 111.75 2.74 L 111.67 2.89 L 111.7 2.94 L 111.57 3.02 L 111.49 2.94 L 111.36 2.92 L 110.99 3.09 L 110.75 3.03 L 110.8 2.96 L 110.97 2.9 L 111.16 2.7 L 111.14 2.4 L 111 2.07 L 111.02 1.67 L 110.92 1.62 L 111.01 1.53 L 111.13 1.53 L 111.39 1.29 L 111.59 1.18 L 111.59 1.09 L 111.65 1.02 L 112.11 0.74 L 112.37 0.76 L 112.58 0.7 L 113.15 0.47 L 113.26 0.55 L 113.3 0.44 L 113.25 0.34 L 113.43 0.2 L 113.48 0.07 L 113.43 -0.11 L 113.32 -0.25 L 113.62 -0.31 L 113.65 -0.41 L 113.78 -0.56 L 114.05 -0.65 L 114.38 -0.59 L 114.66 -0.62 L 114.96 -0.74 L 115.08 -0.55 L 114.95 -0.31 L 115.02 -0.07 L 114.98 0.17 L 115.21 -0.02 L 115.35 -0.01 L 115.27 0.31 L 115.42 0.77 L 115.52 0.94 L 115.66 0.99 L 115.74 1.1 L 115.81 1.09 L 115.81 1.27 L 115.72 1.43 L 115.68 1.43 L 115.67 1.36 L 115.42 1.44 L 115.34 1.77 L 115.33 2.04 L 115.16 2.2 L 114.88 2.27 L 114.91 2.43 L 114.79 2.69 L 114.5 2.88 L 114.31 3.43 Z,-1.84217,113.286,"Kalimantan Tengah|Kalteng"
central-sulawesi,Central Sulawesi,Sulawesi,"M 123.88 2.02 L 123.89 2.07 L 123.84 2.05 L 123.88 2.02 Z|M 123.66 1.91 L 123.66 1.96 L 123.66 1.91 Z|M 123.74 1.91 L 123.71 1.96 L 123.74 1.91 Z|M 120.65 -1.07 L 120.68 -1.04 L 120.65 -1.07 Z|M 120.38 -1.08 L 120.38 -1.02 L 120.38 -1.08 Z|M 121.33 -0.46 L 121.26 -0.48 L 121.1 -0.41 L 121 -0.45 L 120.88 -0.42 L 120.68 -0.53 L 120.49 -0.52 L 120.27 -0.38 L 120.13 -0.19 L 120.02 0.07 L 120 0.23 L 120.09 0.66 L 120.26 0.9 L 120.33 0.94 L 120.41 0.9 L 120.5 0.98 L 120.59 1.12 L 120.57 1.22 L 120.68 1.39 L 120.83 1.34 L 120.84 1.39 L 121.11 1.41 L 121.21 1.19 L 121.5 0.86 L 121.62 0.8 L 121.71 0.94 L 122.11 0.93 L 122.21 0.76 L 122.62 0.75 L 122.72 0.79 L 122.93 0.76 L 122.96 0.73 L 122.73 0.65 L 123.08 0.56 L 123.27 0.58 L 123.44 0.71 L 123.44 0.83 L 123.35 1.04 L 123.24 1.02 L 123.1 0.84 L 123.01 0.89 L 122.84 0.9 L 122.72 1.11 L 122.37 1.49 L 122.18 1.61 L 121.86 1.67 L 121.69 1.91 L 121.55 1.93 L 121.44 1.81 L 121.35 1.78 L 121.3 1.82 L 121.35 1.86 L 121.34 1.99 L 121.4 1.91 L 121.57 2.16 L 121.7 2.18 L 121.82 2.29 L 122.01 2.59 L 122.02 2.69 L 122.18 2.81 L 122.19 2.87 L 122.29 2.89 L 122.28 3.04 L 122.47 3.15 L 122.43 3.25 L 122.34 3.24 L 122.17 3.09 L 121.6 2.97 L 121.78 2.78 L 121.76 2.63 L 121.4 2.36 L 120.76 2.22 L 120.43 1.85 L 120.32 1.9 L 120.07 1.85 L 119.85 1.95 L 119.85 1.78 L 119.72 1.61 L 119.68 1.43 L 119.49 1.31 L 119.6 1.17 L 119.57 0.83 L 119.68 0.74 L 119.66 0.7 L 119.73 0.63 L 119.82 0.86 L 119.87 0.81 L 119.76 0.47 L 119.8 0.12 L 119.68 0.1 L 119.63 -0.01 L 119.68 -0.03 L 119.83 0.08 L 119.89 -0.07 L 119.79 -0.24 L 119.87 -0.29 L 119.91 -0.47 L 120.03 -0.52 L 120.03 -0.71 L 120.23 -0.81 L 120.28 -0.99 L 120.34 -0.98 L 120.35 -0.86 L 120.57 -0.78 L 120.66 -0.97 L 120.8 -1.05 L 120.82 -1.31 L 120.91 -1.35 L 120.91 -1.31 L 121.08 -1.33 L 121.26 -1.23 L 121.45 -1.3 L 121.45 -1.17 L 121.59 -1.06 L 121.93 -1.1 L 121.99 -1.02 L 122.06 -1.07 L 122.19 -1.03 L 122.05 -0.94 L 121.86 -0.98 L 121.51 -0.85 L 121.3 -0.83 L 121.16 -0.69 L 121.24 -0.59 L 121.33 -0.58 L 121.33 -0.46 Z|M 123.86 1.95 L 123.87 2 L 123.79 1.99 L 123.79 1.87 L 123.86 1.95 Z|M 123.13 1.77 L 123.15 1.82 L 123.07 1.9 L 123.09 1.76 L 123.13 1.77 Z|M 123.5 1.26 L 123.55 1.28 L 123.53 1.43 L 123.41 1.52 L 123.29 1.42 L 123.24 1.63 L 123.11 1.58 L 123.18 1.49 L 123.15 1.3 L 122.9 1.59 L 122.81 1.44 L 122.82 1.31 L 122.91 1.18 L 123.15 1.18 L 123.19 1.15 L 123.25 1.22 L 123.2 1.27 L 123.23 1.39 L 123.35 1.23 L 123.5 1.26 Z|M 121.85 0.4 L 121.92 0.47 L 121.89 0.51 L 121.74 0.48 L 121.64 0.55 L 121.75 0.4 L 121.85 0.4 Z|M 122.03 0.33 L 122.03 0.41 L 121.86 0.38 L 121.93 0.31 L 122.03 0.33 Z|M 122.22 0.25 L 122.14 0.23 L 122.18 0.2 L 122.22 0.25 Z|M 122.37 0.26 L 122.38 0.35 L 122.23 0.2 L 122.37 0.26 Z|M 121.57 0.18 L 121.6 0.12 L 121.65 0.15 L 121.62 0.2 L 121.57 0.18 Z|M 123.37 1.67 L 123.38 1.71 L 123.28 1.79 L 123.37 1.67 Z|M 122.14 0.38 L 122.07 0.4 L 122.08 0.27 L 122.14 0.38 Z|M 123.6 1.6 L 123.6 1.7 L 123.49 1.71 L 123.48 1.56 L 123.52 1.48 L 123.6 1.6 Z",-1.30097,120.153,"Sulawesi Tengah|Sulteng"
east-java,East Java,Java,"M 113.4 8.45 L 113.41 8.49 L 113.28 8.49 L 113.29 8.43 L 113.4 8.45 Z|M 111.67 6.73 L 111.81 6.8 L 111.98 6.78 L 112.11 6.91 L 112.44 6.87 L 112.54 6.92 L 112.58 6.87 L 112.58 6.99 L 112.67 7.05 L 112.61 7.09 L 112.68 7.17 L 112.6 7.19 L 112.7 7.25 L 112.77 7.2 L 112.82 7.26 L 112.76 7.53 L 113.13 7.73 L 113.32 7.79 L 113.53 7.7 L 113.79 7.73 L 114.05 7.61 L 114.14 7.7 L 114.26 7.7 L 114.45 7.79 L 114.38 8.52 L 114.41 8.45 L 114.45 8.6 L 114.59 8.66 L 114.62 8.74 L 114.56 8.78 L 114.37 8.74 L 114.39 8.66 L 114.3 8.61 L 114.2 8.65 L 113.98 8.62 L 113.96 8.56 L 113.82 8.56 L 113.81 8.5 L 113.72 8.53 L 113.24 8.28 L 113.03 8.3 L 112.9 8.4 L 112.83 8.38 L 112.67 8.45 L 112.34 8.33 L 111.97 8.28 L 111.92 8.3 L 111.79 8.26 L 111.77 8.32 L 111.72 8.29 L 111.7 8.37 L 111.63 8.32 L 111.45 8.31 L 111.43 8.27 L 111.16 8.28 L 111.1 8.21 L 111.06 8.25 L 110.94 8.23 L 110.98 8.1 L 111.22 7.94 L 111.27 7.95 L 111.31 7.84 L 111.29 7.76 L 111.19 7.71 L 111.2 7.27 L 111.44 7.31 L 111.61 7.15 L 111.6 6.96 L 111.67 6.73 Z|M 115.57 6.9 L 115.56 6.94 L 115.38 6.91 L 115.35 6.94 L 115.4 6.97 L 115.32 6.95 L 115.29 7.01 L 115.28 6.94 L 115.21 6.93 L 115.28 6.84 L 115.46 6.84 L 115.57 6.9 Z|M 112.7 5.73 L 112.73 5.83 L 112.6 5.85 L 112.58 5.79 L 112.7 5.73 Z|M 114.05 6.91 L 114.12 6.98 L 113.91 7.05 L 113.87 7.13 L 113.61 7.13 L 113.51 7.25 L 113.17 7.22 L 113.12 7.14 L 113.13 7.23 L 112.73 7.16 L 112.69 7.06 L 112.84 6.91 L 112.92 6.89 L 113.92 6.86 L 114.05 6.91 Z|M 114.59 7.13 L 114.62 7.17 L 114.5 7.15 L 114.59 7.13 Z|M 114.37 7.09 L 114.38 7.18 L 114.29 7.14 L 114.27 7.08 L 114.32 7.05 L 114.37 7.09 Z|M 115.89 7.11 L 115.89 7.16 L 115.84 7.2 L 115.74 7.15 L 115.78 7.12 L 115.88 7.16 L 115.89 7.11 Z",-7.88129,112.616,"Jawa Timur|Jatim"
east-kalimantan,East Kalimantan,Kalimantan,"M 117.7 -4.16 L 117.91 -4.16 L 117.93 -4.06 L 117.84 -4.04 L 117.7 -4.16 Z|M 116.52 -4.4 L 116.59 -4.33 L 116.71 -4.37 L 116.8 -4.33 L 117.22 -4.35 L 117.44 -4.19 L 117.57 -4.16 L 117.52 -4.12 L 117.37 -4.17 L 117.4 -4.1 L 117.68 -3.93 L 117.65 -3.9 L 117.52 -3.93 L 117.72 -3.86 L 117.78 -3.78 L 117.7 -3.78 L 117.83 -3.7 L 117.75 -3.64 L 117.63 -3.63 L 117.55 -3.66 L 117.47 -3.79 L 117.51 -3.61 L 117.09 -3.65 L 117.03 -3.59 L 117.2 -3.62 L 117.24 -3.49 L 117.33 -3.44 L 117.45 -3.43 L 117.36 -3.24 L 117.27 -3.23 L 117.45 -3.17 L 117.48 -3.1 L 117.62 -3.09 L 117.63 -3.04 L 117.56 -2.98 L 117.69 -2.96 L 117.54 -2.92 L 117.74 -2.9 L 117.62 -2.83 L 117.78 -2.76 L 117.83 -2.61 L 118.08 -2.34 L 118.06 -2.22 L 117.96 -2.18 L 117.91 -2.09 L 117.83 -2.11 L 117.9 -2.05 L 117.75 -2.03 L 117.87 -1.99 L 117.86 -1.9 L 117.92 -1.82 L 118.05 -1.78 L 118.13 -1.65 L 118.43 -1.49 L 118.4 -1.45 L 118.46 -1.39 L 118.61 -1.35 L 118.75 -1.23 L 118.86 -1.06 L 118.99 -1.06 L 119.01 -0.98 L 118.8 -0.8 L 118.66 -0.85 L 118.38 -0.8 L 118.1 -0.91 L 117.99 -1.08 L 117.89 -1.11 L 118.03 -0.8 L 117.9 -0.84 L 117.74 -0.74 L 117.62 -0.5 L 117.63 -0.43 L 117.52 -0.29 L 117.48 -0.17 L 117.52 -0.14 L 117.47 -0.11 L 117.53 0.03 L 117.44 0.24 L 117.5 0.35 L 117.44 0.53 L 117.63 0.42 L 117.55 0.5 L 117.6 0.52 L 117.58 0.6 L 117.53 0.61 L 117.58 0.63 L 117.55 0.69 L 117.48 0.7 L 117.61 0.73 L 117.62 0.78 L 117.49 0.8 L 117.45 0.88 L 117.38 0.84 L 117.34 0.9 L 117.28 0.81 L 117.25 0.91 L 116.96 1.24 L 116.82 1.26 L 116.83 1.2 L 116.8 1.22 L 116.74 1.02 L 116.74 1.22 L 116.79 1.24 L 116.76 1.37 L 116.57 1.45 L 116.54 1.62 L 116.22 1.79 L 116.44 1.78 L 116.41 1.85 L 116.47 1.91 L 116.46 2.04 L 116.28 2.17 L 116.37 2.14 L 116.41 2.2 L 116.6 2.18 L 116.57 2.36 L 115.99 2.27 L 115.87 2.35 L 115.81 2.18 L 115.83 2.05 L 115.74 1.97 L 115.69 1.64 L 115.64 1.53 L 115.57 1.52 L 115.64 1.44 L 115.72 1.43 L 115.8 1.29 L 115.81 1.09 L 115.74 1.1 L 115.66 0.99 L 115.46 0.89 L 115.27 0.31 L 115.35 -0.01 L 115.21 -0.02 L 114.98 0.17 L 115.02 -0.07 L 114.95 -0.31 L 115.08 -0.55 L 115.03 -0.69 L 114.89 -0.74 L 114.66 -0.62 L 114.38 -0.59 L 114.05 -0.65 L 113.78 -0.56 L 113.91 -0.72 L 113.95 -0.86 L 113.86 -0.9 L 113.86 -0.98 L 114.2 -1.23 L 114.21 -1.44 L 114.37 -1.51 L 114.55 -1.43 L 114.67 -1.69 L 114.68 -1.84 L 114.83 -1.9 L 114.84 -2.04 L 114.78 -2.04 L 114.75 -2.13 L 114.78 -2.25 L 114.91 -2.28 L 114.92 -2.35 L 115.21 -2.51 L 115.15 -2.6 L 115.06 -2.61 L 115.06 -2.71 L 115.1 -2.76 L 115.07 -2.83 L 115.24 -3.04 L 115.31 -2.99 L 115.46 -3.03 L 115.52 -3.16 L 115.48 -3.21 L 115.52 -3.36 L 115.6 -3.43 L 115.54 -3.63 L 115.59 -3.86 L 115.54 -3.92 L 115.61 -4 L 115.65 -4.17 L 115.77 -4.23 L 115.84 -4.39 L 116.02 -4.27 L 116.13 -4.38 L 116.31 -4.38 L 116.41 -4.29 L 116.49 -4.32 L 116.52 -4.4 Z|M 118.6 -2.24 L 118.65 -2.18 L 118.56 -2.29 L 118.58 -2.32 L 118.62 -2.29 L 118.57 -2.29 L 118.6 -2.24 Z|M 117.5 -3.33 L 117.53 -3.29 L 117.42 -3.29 L 117.43 -3.34 L 117.5 -3.33 Z|M 117.63 -3.44 L 117.68 -3.4 L 117.65 -3.25 L 117.53 -3.4 L 117.63 -3.44 Z|M 117.89 -3.5 L 117.89 -3.46 L 117.83 -3.49 L 117.78 -3.58 L 117.85 -3.58 L 117.89 -3.5 Z|M 117.52 -3.48 L 117.27 -3.5 L 117.22 -3.56 L 117.27 -3.59 L 117.39 -3.57 L 117.52 -3.48 Z|M 117.85 -3.8 L 117.73 -3.87 L 117.85 -3.8 Z|M 117.7 -4.11 L 117.75 -4.05 L 117.67 -3.98 L 117.59 -4.06 L 117.66 -4.15 L 117.7 -4.11 Z",1.28915,116.354,"Kalimantan Timur|Kaltim"
