id,name,region,paths,latitude,longitude,name_alternates
aguascalientes,Aguascalientes,North-Central,M -101.85 -22.02 L -102.05 -21.87 L -102.08 -21.77 L -102.26 -21.67 L -102.51 -21.71 L -102.63 -21.77 L -102.76 -21.75 L -102.86 -21.85 L -102.84 -21.93 L -102.65 -22.19 L -102.65 -22.29 L -102.49 -22.31 L -102.29 -22.46 L -102.21 -22.35 L -102.17 -22.37 L -102 -22.28 L -101.98 -22.12 L -101.85 -22.02 Z,22.0375,-102.351,
baja-california,Baja California,Northwest,"M -114.72 -32.71 L -114.81 -32.51 L -114.93 -32.48 L -115.04 -32.29 L -114.93 -32 L -114.93 -31.91 L -115.04 -31.97 L -114.84 -31.8 L -114.78 -31.66 L -114.85 -31.53 L -114.89 -31.16 L -114.82 -30.99 L -114.71 -30.92 L -114.7 -30.64 L -114.63 -30.49 L -114.66 -30.18 L -114.53 -29.97 L -114.41 -29.88 L -114.39 -29.78 L -114.21 -29.74 L -113.64 -29.28 L -113.66 -29.21 L -113.54 -29.05 L -113.56 -29.01 L -113.52 -28.89 L -113.48 -28.9 L -113.48 -28.95 L -113.39 -28.94 L -113.35 -28.8 L -113.26 -28.84 L -113.2 -28.79 L -113.1 -28.5 L -112.85 -28.44 L -112.87 -28.28 L -112.79 -28.2 L -112.81 -28.03 L -112.76 -28 L -114.06 -28 L -114.04 -28.04 L -114.1 -28.06 L -114.11 -28.12 L -114.06 -28.21 L -114.12 -28.26 L -114.04 -28.46 L -114.1 -28.55 L -114.16 -28.57 L -114.17 -28.66 L -114.27 -28.66 L -114.42 -28.88 L -114.59 -28.97 L -114.63 -29.09 L -114.7 -29.1 L -114.74 -29.19 L -114.97 -29.38 L -115.19 -29.43 L -115.29 -29.53 L -115.5 -29.61 L -115.7 -29.76 L -115.7 -29.9 L -115.81 -29.97 L -115.78 -30.09 L -115.84 -30.35 L -115.98 -30.4 L -115.93 -30.45 L -115.99 -30.5 L -115.96 -30.44 L -116.02 -30.43 L -116 -30.36 L -116.05 -30.48 L -116.06 -30.8 L -116.25 -30.96 L -116.34 -30.96 L -116.31 -31.15 L -116.34 -31.22 L -116.68 -31.55 L -116.65 -31.66 L -116.75 -31.75 L -116.64 -31.73 L -116.61 -31.84 L -116.87 -32.01 L -116.92 -32.22 L -117.02 -32.28 L -117.12 -32.45 L -117.13 -32.53 L -114.72 -32.71 Z|M -115.19 -28.34 L -115.16 -28.14 L -115.18 -28.03 L -115.23 -28.03 L -115.28 -28.09 L -115.36 -28.08 L -115.24 -28.23 L -115.25 -28.36 L -115.19 -28.34 Z|M -112.89 -28.68 L -112.75 -28.59 L -112.89 -28.68 Z|M -112.61 -28.73 L -112.55 -28.73 L -112.55 -28.67 L -112.6 -28.67 L -112.61 -28.73 Z|M -113.14 -29.06 L -113.1 -29.05 L -113.12 -28.99 L -113.5 -29.29 L -113.59 -29.41 L -113.57 -29.54 L -113.51 -29.55 L -113.4 -29.46 L -113.35 -29.38 L -113.37 -29.31 L -113.17 -29.28 L -113.14 -29.06 Z|M -114.1 -28 L -114.12 -28.02 L -114.1 -28 Z|M -114.21 -28 L -114.12 -28.09 L -114.15 -28 L -114.21 -28 Z|M -118.25 -29.09 L -118.23 -28.92 L -118.29 -28.87 L -118.37 -29.11 L -118.27 -29.19 L -118.25 -29.09 Z|M -115.59 -28.32 L -115.56 -28.31 L -115.59 -28.32 Z|M -113.52 -29.1 L -113.49 -29.04 L -113.52 -29.1 Z|M -114.42 -29.99 L -114.39 -29.96 L -114.42 -29.99 Z|M -117.25 -32.42 L -117.24 -32.39 L -117.25 -32.42 Z",30.3399,-115.209,
baja-california-sur,Baja California Sur,Northwest,"M -109.84 -24.22 L -109.8 -24.14 L -109.87 -24.15 L -109.93 -24.37 L -109.84 -24.22 Z|M -111.56 -24.38 L -111.46 -24.33 L -111.67 -24.36 L -111.56 -24.38 Z|M -111.75 -24.45 L -111.69 -24.37 L -111.71 -24.3 L -112.01 -24.51 L -111.86 -24.52 L -111.75 -24.45 Z|M -110.32 -24.52 L -110.29 -24.47 L -110.35 -24.4 L -110.42 -24.57 L -110.32 -24.52 Z|M -110.71 -25.1 L -110.57 -25.02 L -110.52 -24.88 L -110.58 -24.86 L -110.64 -24.91 L -110.71 -25.1 Z|M -112.1 -24.62 L -112.06 -24.55 L -112.09 -24.55 L -112.18 -24.65 L -112.14 -24.7 L -112.18 -24.76 L -112.25 -24.79 L -112.26 -24.75 L -112.3 -24.79 L -112.13 -25.27 L -112.18 -24.87 L -112.21 -24.85 L -112.1 -24.62 Z|M -110.77 -25.59 L -110.81 -25.64 L -110.77 -25.71 L -110.77 -25.59 Z|M -111.08 -26 L -111.07 -25.97 L -111.11 -26 L -111.18 -25.9 L -111.2 -25.8 L -111.23 -25.84 L -111.18 -26.04 L -111.06 -26.07 L -111.08 -26 Z|M -114.07 -28 L -112.76 -28 L -112.77 -27.86 L -112.69 -27.74 L -112.35 -27.55 L -112.16 -27.17 L -111.95 -27.09 L -112.02 -26.98 L -111.87 -26.83 L -111.9 -26.71 L -111.78 -26.57 L -111.74 -26.54 L -111.68 -26.58 L -111.81 -26.71 L -111.85 -26.87 L -111.82 -26.9 L -111.56 -26.7 L -111.56 -26.56 L -111.44 -26.52 L -111.47 -26.42 L -111.39 -26.33 L -111.32 -26.1 L -111.36 -25.96 L -111.31 -25.78 L -111.23 -25.72 L -111.12 -25.53 L -111.02 -25.52 L -110.9 -25.14 L -110.68 -24.88 L -110.66 -24.81 L -110.74 -24.55 L -110.61 -24.25 L -110.33 -24.18 L -110.43 -24.17 L -110.42 -24.11 L -110.36 -24.11 L -110.3 -24.22 L -110.33 -24.33 L -110.23 -24.34 L -110.17 -24.25 L -110.01 -24.16 L -109.99 -24.05 L -109.83 -24.06 L -109.84 -23.94 L -109.7 -23.8 L -109.7 -23.67 L -109.47 -23.56 L -109.43 -23.3 L -109.53 -23.11 L -109.71 -23.03 L -109.9 -22.87 L -110 -22.89 L -110.1 -23.02 L -110.17 -23.32 L -110.31 -23.54 L -110.65 -23.73 L -111.04 -24.1 L -111.44 -24.32 L -111.36 -24.29 L -111.6 -24.44 L -111.68 -24.59 L -111.7 -24.54 L -111.8 -24.55 L -111.76 -24.52 L -111.81 -24.51 L -111.85 -24.65 L -112.01 -24.87 L -111.97 -24.74 L -112.03 -24.76 L -112.04 -24.84 L -112.04 -24.75 L -112.08 -24.76 L -112.12 -24.87 L -112.1 -25 L -112.14 -24.87 L -112.17 -24.95 L -112.08 -25.26 L -112.08 -25.44 L -112.03 -25.47 L -112.08 -25.48 L -112.08 -25.72 L -112.1 -25.5 L -112.11 -25.78 L -112.18 -25.96 L -112.31 -26.07 L -112.4 -26.24 L -112.5 -26.24 L -112.56 -26.3 L -112.69 -26.32 L -113.06 -26.6 L -113.14 -26.76 L -113.12 -26.79 L -113.22 -26.74 L -113.24 -26.79 L -113.12 -26.89 L -113.15 -26.97 L -113.27 -26.75 L -113.47 -26.8 L -113.6 -26.71 L -113.73 -26.8 L -113.82 -26.95 L -114.01 -26.98 L -114.18 -27.14 L -114.42 -27.17 L -114.49 -27.24 L -114.51 -27.41 L -114.73 -27.52 L -114.78 -27.6 L -114.88 -27.64 L -114.86 -27.69 L -114.9 -27.66 L -115 -27.72 L -115.06 -27.86 L -114.5 -27.77 L -114.32 -27.87 L -114.28 -27.74 L -114.1 -27.6 L -114.05 -27.65 L -114.07 -27.69 L -113.95 -27.66 L -113.92 -27.72 L -114.07 -27.8 L -114.04 -27.73 L -114.12 -27.71 L -114.17 -27.79 L -114.15 -27.95 L -114.28 -27.9 L -114.21 -28 L -114.15 -28 L -114.11 -27.93 L -114.07 -28 Z|M -113.24 -26.72 L -113.17 -26.72 L -113.14 -26.67 L -113.24 -26.72 Z|M -110.59 -24.83 L -110.56 -24.82 L -110.59 -24.83 Z|M -110.71 -25.31 L -110.73 -25.26 L -110.71 -25.31 Z|M -112.11 -25.48 L -112.12 -25.28 L -112.11 -25.48 Z|M -111.06 -25.7 L -111.02 -25.69 L -111.03 -25.65 L -111.06 -25.7 Z|M -111.26 -25.81 L -111.25 -25.77 L -111.26 -25.81 Z|M -111.29 -26.13 L -111.26 -26.11 L -111.29 -26.13 Z|M -112.1 -27.22 L -112.09 -27.26 L -112.05 -27.22 L -112.07 -27.18 L -112.1 -27.22 Z|M -111.89 -27.43 L -111.86 -27.44 L -111.89 -27.43 Z|M -115.2 -27.89 L -115.16 -27.85 L -115.2 -27.89 Z",25.0656,-111.452,
campeche,Campeche,Southeast,"M -89.15 -17.95 L -89.16 -17.81 L -90.99 -17.8 L -90.99 -17.97 L -91.54 -18.1 L -91.59 -18.1 L -91.63 -17.95 L -91.86 -17.95 L -92.16 -18.17 L -92.15 -18.46 L -92.37 -18.46 L -92.49 -18.65 L -91.95 -18.69 L -91.87 -18.6 L -91.95 -18.63 L -92.04 -18.6 L -92.05 -18.55 L -91.89 -18.51 L -91.97 -18.59 L -91.9 -18.58 L -91.89 -18.53 L -91.83 -18.49 L -91.86 -18.43 L -91.8 -18.39 L -91.8 -18.49 L -91.49 -18.44 L -91.48 -18.5 L -91.54 -18.47 L -91.5 -18.51 L -91.18 -18.66 L -91.3 -18.63 L -91.27 -18.74 L -91.41 -18.81 L -91.24 -18.96 L -91.41 -18.83 L -91.51 -18.82 L -90.94 -19.16 L -90.74 -19.34 L -90.7 -19.71 L -90.46 -19.98 L -90.5 -20.08 L -90.49 -20.53 L -90.46 -20.72 L -90.38 -20.82 L -90.37 -20.52 L -90.24 -20.51 L -90.09 -20.41 L -90.02 -20.47 L -89.81 -20.14 L -89.63 -20.02 L -89.37 -19.59 L -89.04 -19.29 L -89.02 -19.03 L -89.08 -18.96 L -89.11 -18.69 L -89.04 -18.49 L -89.04 -18.2 L -89.15 -18.03 L -89.15 -17.95 Z|M -91.6 -18.77 L -91.54 -18.79 L -91.52 -18.75 L -91.62 -18.74 L -91.69 -18.67 L -91.84 -18.65 L -91.6 -18.77 Z",18.6624,-90.2807,
chiapas,Chiapas,Southeast,"M -91.43 -17.25 L -91.28 -17.18 L -91.05 -16.91 L -90.96 -16.9 L -90.92 -16.84 L -90.74 -16.75 L -90.67 -16.59 L -90.63 -16.59 L -90.63 -16.48 L -90.39 -16.42 L -90.38 -16.37 L -90.42 -16.37 L -90.41 -16.29 L -90.46 -16.26 L -90.43 -16.11 L -90.49 -16.07 L -91.74 -16.06 L -92.21 -15.27 L -92.07 -15.07 L -92.15 -15 L -92.19 -14.84 L -92.16 -14.68 L -92.23 -14.55 L -92.82 -15.14 L -92.84 -15.18 L -92.78 -15.16 L -92.74 -15.09 L -92.77 -15.17 L -92.98 -15.27 L -93.2 -15.49 L -93.94 -16.01 L -93.85 -16.02 L -93.9 -16.09 L -94.08 -16.15 L -94.04 -16.3 L -94.13 -16.51 L -94.04 -16.64 L -94.04 -16.8 L -93.91 -16.88 L -93.87 -17.15 L -93.62 -17.32 L -93.51 -17.55 L -93.41 -17.64 L -93.27 -17.99 L -93.09 -17.9 L -93 -17.93 L -92.98 -17.54 L -92.91 -17.53 L -92.76 -17.36 L -92.38 -17.62 L -92.34 -17.71 L -92.08 -17.79 L -92 -17.9 L -91.94 -17.85 L -91.82 -17.89 L -91.79 -17.73 L -91.7 -17.71 L -91.64 -17.52 L -91.5 -17.46 L -91.49 -17.4 L -91.39 -17.33 L -91.43 -17.25 Z|M -94.09 -16.1 L -93.96 -16 L -94.11 -16.06 L -94.09 -16.1 Z",16.527,-92.581,
chihuahua,Chihuahua,Northwest,M -108.22 -31.78 L -106.39 -31.75 L -106.21 -31.48 L -105.96 -31.37 L -105.36 -30.85 L -105.2 -30.8 L -104.93 -30.61 L -104.85 -30.41 L -104.68 -30.19 L -104.68 -29.94 L -104.44 -29.59 L -104.27 -29.53 L -104.06 -29.34 L -103.78 -29.27 L -103.7 -29.19 L -103.55 -29.15 L -103.39 -29.03 L -103.31 -29.03 L -103.96 -27.92 L -103.63 -26.64 L -103.99 -26.77 L -104.15 -26.77 L -104.56 -26.34 L -104.83 -26.49 L -104.99 -26.5 L -105.03 -26.46 L -105.12 -26.55 L -105.33 -26.46 L -105.58 -26.59 L -105.68 -26.7 L -105.81 -26.69 L -106.03 -26.84 L -106.09 -26.73 L -106.16 -26.74 L -106.17 -26.62 L -106.22 -26.56 L -106.2 -26.45 L -106.43 -26.36 L -106.38 -26.13 L -106.41 -26.05 L -106.51 -26.02 L -106.54 -25.79 L -106.76 -25.62 L -106.94 -25.64 L -107.25 -25.86 L -107.39 -26.12 L -107.78 -26.2 L -107.84 -26.6 L -108 -26.81 L -108.02 -26.92 L -108.37 -27.08 L -108.47 -26.98 L -108.57 -27.04 L -108.69 -27.2 L -108.64 -27.31 L -108.66 -27.52 L -108.78 -27.62 L -108.76 -27.67 L -108.91 -27.84 L -109.01 -27.89 L -109.15 -28.2 L -109.05 -28.28 L -108.64 -28.24 L -108.54 -28.32 L -108.65 -28.61 L -108.61 -28.74 L -108.71 -29.4 L -108.61 -29.41 L -108.54 -30.04 L -108.58 -30.51 L -109.04 -30.83 L -108.97 -31.33 L -108.21 -31.33 L -108.22 -31.78 Z,28.973,-106.232,
coahuila,Coahuila,North-Central,M -102.32 -29.89 L -102.11 -29.8 L -101.63 -29.78 L -101.55 -29.82 L -101.54 -29.77 L -101.41 -29.78 L -101.36 -29.67 L -101.3 -29.65 L -101.31 -29.6 L -101.23 -29.62 L -101.21 -29.53 L -101.04 -29.46 L -101.01 -29.38 L -100.8 -29.26 L -100.76 -29.17 L -100.67 -29.12 L -100.62 -28.92 L -100.38 -28.54 L -100.32 -28.51 L -100.36 -28.48 L -100.28 -28.28 L -100.06 -28.14 L -99.81 -27.77 L -99.98 -27.64 L -100.18 -27.79 L -100.36 -27.67 L -100.46 -27.35 L -100.63 -27.33 L -100.81 -27.2 L -100.75 -27.01 L -100.67 -27.1 L -100.56 -27.05 L -100.55 -26.89 L -100.61 -26.72 L -100.71 -26.62 L -100.75 -26.73 L -101.22 -26.37 L -100.85 -25.96 L -100.85 -25.79 L -100.78 -25.68 L -100.57 -25.54 L -100.57 -25.5 L -100.7 -25.51 L -100.47 -25.34 L -100.3 -25.34 L -100.2 -25.28 L -100.27 -25.2 L -100.6 -25.23 L -100.79 -25.12 L -100.84 -25.04 L -100.73 -24.96 L -100.8 -24.89 L -100.77 -24.78 L -100.83 -24.56 L -101.1 -24.64 L -101.23 -24.82 L -101.34 -24.84 L -101.44 -24.75 L -101.62 -24.76 L -101.65 -24.83 L -101.57 -24.81 L -101.59 -24.88 L -101.77 -24.94 L -101.86 -25.08 L -102.2 -25.17 L -102.63 -25.12 L -102.84 -24.9 L -102.84 -24.73 L -103.23 -24.89 L -103.28 -25.07 L -103.51 -25.28 L -103.42 -25.42 L -103.49 -25.54 L -103.32 -25.7 L -103.35 -26.07 L -103.27 -26.31 L -103.33 -26.41 L -103.63 -26.64 L -103.96 -27.92 L -103.31 -29.02 L -103.12 -29 L -102.99 -29.18 L -102.86 -29.23 L -102.9 -29.26 L -102.88 -29.34 L -102.84 -29.37 L -102.84 -29.45 L -102.69 -29.74 L -102.41 -29.78 L -102.32 -29.89 Z,27.4473,-101.885,
colima,Colima,West,"M -114.78 -18.35 L -114.72 -18.35 L -114.78 -18.32 L -114.78 -18.35 Z|M -110.95 -18.8 L -110.92 -18.73 L -111.07 -18.77 L -111 -18.87 L -110.95 -18.8 Z|M -110.81 -19.35 L -110.79 -19.31 L -110.83 -19.27 L -110.81 -19.35 Z|M -103.74 -18.69 L -103.98 -18.87 L -104.33 -19.02 L -104.3 -19.07 L -104.33 -19.1 L -104.44 -19.08 L -104.59 -19.17 L -104.53 -19.25 L -104.48 -19.23 L -104.42 -19.29 L -104.21 -19.32 L -104.06 -19.54 L -103.83 -19.4 L -103.65 -19.5 L -103.49 -19.31 L -103.53 -19.09 L -103.48 -18.97 L -103.61 -18.89 L -103.63 -18.8 L -103.74 -18.69 Z",19.1325,-103.915,
distrito-federal,Distrito Federal,Central,M -99.12 -19.57 L -99.04 -19.43 L -99.06 -19.38 L -98.96 -19.27 L -98.94 -19.12 L -99.04 -19.06 L -99.26 -19.12 L -99.33 -19.25 L -99.31 -19.36 L -99.26 -19.36 L -99.12 -19.57 Z,19.3266,-99.1369,
durango,Durango,Northwest,M -106.9 -24.79 L -107.04 -24.92 L -107.12 -25.14 L -107.08 -25.47 L -106.94 -25.64 L -106.74 -25.62 L -106.54 -25.78 L -106.51 -26.02 L -106.41 -26.05 L -106.38 -26.13 L -106.43 -26.36 L -106.2 -26.45 L -106.22 -26.56 L -106.17 -26.62 L -106.15 -26.76 L -106.09 -26.73 L -106.03 -26.84 L -105.81 -26.69 L -105.68 -26.7 L -105.58 -26.59 L -105.33 -26.46 L -105.12 -26.55 L -105.03 -26.46 L -104.99 -26.5 L -104.83 -26.49 L -104.56 -26.34 L -104.23 -26.72 L -104.01 -26.78 L -103.63 -26.64 L -103.28 -26.36 L -103.35 -26.07 L -103.32 -25.7 L -103.49 -25.54 L -103.42 -25.42 L -103.51 -25.28 L -103.28 -25.07 L -103.23 -24.89 L -102.84 -24.73 L -102.84 -24.9 L -102.67 -25.08 L -102.49 -24.82 L -102.49 -24.47 L -102.76 -24.41 L -103.28 -24.48 L -103.4 -24.43 L -103.41 -24.36 L -103.52 -24.34 L -103.67 -24.16 L -103.84 -24.09 L -103.84 -23.95 L -103.9 -23.92 L -103.81 -23.67 L -103.83 -23.63 L -103.92 -23.65 L -103.95 -23.55 L -104.1 -23.45 L -104.13 -23.19 L -104.19 -23.12 L -104.21 -22.64 L -104.31 -22.32 L -104.33 -22.47 L -104.53 -22.43 L -104.61 -22.48 L -104.66 -22.62 L -104.75 -22.67 L -105 -22.54 L -104.99 -22.69 L -104.89 -22.79 L -104.95 -22.92 L -105.18 -23.03 L -105.39 -23.03 L -105.39 -23.15 L -105.52 -23.15 L -105.68 -23.28 L -105.73 -23.49 L -105.84 -23.58 L -105.9 -23.71 L -105.92 -23.9 L -105.86 -24.06 L -105.95 -24.07 L -106.04 -24.26 L -106.2 -24.39 L -106.31 -24.37 L -106.4 -24.29 L -106.53 -24.31 L -106.61 -24.38 L -106.76 -24.7 L -106.9 -24.79 Z,24.566,-104.808,
