id,name,region,paths,latitude,longitude,name_alternates,wikipedia
abia,Abia,South East,M 7.88 -5.69 L 7.94 -5.36 L 7.71 -5.52 L 7.64 -5.51 L 7.65 -5.33 L 7.53 -5.31 L 7.52 -5.05 L 7.46 -4.98 L 7.5 -4.82 L 7.34 -4.88 L 7.18 -4.87 L 7.16 -4.95 L 7.27 -5.11 L 7.25 -5.19 L 7.4 -5.54 L 7.39 -5.84 L 7.25 -5.93 L 7.3 -5.99 L 7.47 -6.02 L 7.53 -5.97 L 7.53 -5.85 L 7.73 -5.82 L 7.88 -5.69 Z,5.57402,7.56019,,Abia_State
adamawa,Adamawa,North East,M 13.75 -10.94 L 13.54 -10.62 L 13.43 -10.15 L 13.23 -10.05 L 13.21 -9.87 L 13.26 -9.8 L 13.2 -9.54 L 12.98 -9.47 L 12.86 -9.38 L 12.9 -9.26 L 12.82 -9.1 L 12.77 -8.76 L 12.71 -8.75 L 12.66 -8.66 L 12.56 -8.61 L 12.37 -8.61 L 12.4 -8.5 L 12.23 -8.39 L 12.2 -7.98 L 12.02 -7.72 L 12.02 -7.58 L 11.9 -7.45 L 11.8 -7.81 L 11.65 -7.94 L 11.52 -7.85 L 11.4 -8.06 L 11.86 -8.57 L 11.87 -8.71 L 11.97 -8.92 L 11.97 -8.99 L 11.83 -9.13 L 11.77 -9.33 L 11.62 -9.42 L 11.53 -9.59 L 11.93 -9.78 L 11.95 -10.04 L 12.11 -10.04 L 12.39 -10.3 L 12.62 -10.36 L 12.84 -10.56 L 13.01 -10.57 L 13.19 -10.45 L 13.31 -10.47 L 13.42 -10.93 L 13.75 -10.94 Z,9.47906,12.5768,,Adamawa_State
akwa-ibom,Akwa Ibom,South South,M 8.3 -4.78 L 8.36 -4.63 L 8.29 -4.55 L 8.03 -4.56 L 7.7 -4.5 L 7.54 -4.54 L 7.55 -4.71 L 7.46 -4.98 L 7.52 -5.05 L 7.53 -5.31 L 7.65 -5.33 L 7.64 -5.51 L 7.71 -5.52 L 7.9 -5.36 L 7.87 -5.33 L 7.92 -5.26 L 8.05 -5.23 L 8.1 -4.99 L 8.3 -4.78 Z,4.89926,7.90963,,Akwa_Ibom
anambra,Anambra,South East,M 6.61 -5.72 L 6.7 -6.08 L 6.76 -6.12 L 6.68 -6.54 L 6.79 -6.57 L 6.91 -6.78 L 6.91 -6.72 L 7.1 -6.67 L 7.02 -6.44 L 7.11 -6.39 L 7.13 -6.24 L 7.18 -6.23 L 7.24 -6.07 L 7.36 -6.02 L 7.25 -5.93 L 6.99 -5.91 L 6.9 -5.76 L 6.74 -5.75 L 6.67 -5.69 L 6.61 -5.72 Z,6.30827,6.98472,,Anambra
bauchi,Bauchi,North East,M 11 -9.59 L 10.86 -9.59 L 10.56 -9.5 L 9.87 -9.84 L 9.81 -9.8 L 9.86 -9.68 L 9.74 -9.57 L 9.5 -9.54 L 9.3 -9.58 L 9.16 -9.73 L 9.2 -9.85 L 9.18 -10 L 8.96 -10.02 L 8.94 -10.29 L 8.9 -10.33 L 8.79 -10.34 L 8.7 -10.42 L 8.82 -10.66 L 8.73 -10.86 L 8.74 -11.02 L 9.1 -11.33 L 9.53 -11.3 L 9.62 -11.24 L 9.81 -11.26 L 9.88 -11.16 L 9.89 -10.98 L 9.95 -10.95 L 10.18 -10.93 L 10.22 -11.05 L 10.36 -11.12 L 10.39 -11.18 L 10 -11.26 L 9.86 -11.46 L 9.79 -11.48 L 9.83 -11.58 L 9.8 -11.71 L 9.63 -11.73 L 9.7 -11.85 L 10.15 -12.01 L 10.29 -12.42 L 10.48 -12.42 L 10.61 -12.5 L 10.75 -12.36 L 10.85 -11.87 L 10.97 -11.58 L 10.94 -11.34 L 11.01 -11.29 L 10.67 -11.04 L 10.54 -10.71 L 10.65 -10.67 L 10.69 -10.52 L 10.82 -10.45 L 10.84 -10.19 L 10.72 -10.1 L 10.97 -9.89 L 11.08 -9.61 L 11 -9.59 Z,10.4101,9.88584,,Bauchi
bayelsa,Bayelsa,South South,M 6.72 -4.59 L 6.7 -4.42 L 6.65 -4.51 L 6.68 -4.33 L 6.61 -4.34 L 6.58 -4.51 L 6.55 -4.5 L 6.59 -4.45 L 6.57 -4.33 L 6.43 -4.35 L 6.27 -4.29 L 6.25 -4.32 L 6.33 -4.44 L 6.26 -4.4 L 6.24 -4.5 L 6.25 -4.41 L 6.2 -4.44 L 6.22 -4.29 L 6.1 -4.28 L 6.11 -4.37 L 6.06 -4.42 L 6.06 -4.3 L 6 -4.32 L 5.99 -4.42 L 5.95 -4.34 L 5.57 -4.68 L 5.39 -5.14 L 5.7 -5.03 L 5.95 -5.16 L 6.05 -5.1 L 6.21 -5.18 L 6.21 -5.25 L 6.29 -5.26 L 6.33 -5.34 L 6.59 -5.38 L 6.62 -5.33 L 6.49 -5.2 L 6.39 -4.82 L 6.45 -4.72 L 6.57 -4.75 L 6.63 -4.71 L 6.72 -4.59 Z,4.73907,5.97421,,Bayelsa
benue,Benue,North Central,M 9.64 -6.52 L 9.49 -6.42 L 9.32 -6.64 L 9.23 -6.69 L 8.99 -6.66 L 8.96 -6.79 L 8.7 -6.89 L 8.63 -6.87 L 8.58 -6.75 L 8.41 -6.75 L 8.29 -6.68 L 8.22 -6.79 L 8.12 -6.71 L 8 -6.7 L 7.93 -6.52 L 7.86 -6.56 L 7.83 -6.86 L 7.64 -6.86 L 7.49 -7.07 L 7.63 -7.01 L 7.65 -7.1 L 7.79 -7.17 L 7.88 -7.42 L 7.78 -7.45 L 7.75 -7.76 L 7.68 -7.86 L 7.67 -8.03 L 8.12 -7.91 L 8.42 -7.78 L 8.37 -8.07 L 8.56 -8.13 L 8.83 -8.05 L 8.98 -8.06 L 9.17 -7.91 L 9.13 -7.81 L 9.42 -7.86 L 9.57 -7.84 L 9.68 -7.76 L 9.88 -7.56 L 9.92 -7.45 L 9.87 -7.21 L 9.71 -7.02 L 9.64 -6.52 Z,7.48719,8.70736,,Benue_State
borno,Borno,North East,M 13.61 -13.7 L 14.06 -13.08 L 14.19 -12.37 L 14.49 -12.34 L 14.61 -12.18 L 14.67 -12.18 L 14.54 -11.71 L 14.62 -11.63 L 14.61 -11.51 L 14.17 -11.24 L 13.98 -11.28 L 13.77 -11.03 L 13.75 -10.94 L 13.42 -10.93 L 13.31 -10.47 L 13.19 -10.45 L 13.01 -10.57 L 12.84 -10.56 L 12.62 -10.36 L 12.39 -10.3 L 12.11 -10.04 L 11.95 -10.04 L 11.69 -10.26 L 11.64 -10.39 L 11.71 -10.51 L 11.7 -10.59 L 11.79 -10.66 L 11.81 -10.86 L 12.17 -11.05 L 12.2 -11.28 L 12.39 -11.54 L 12.34 -11.65 L 12.24 -11.66 L 12.31 -11.86 L 12.31 -12.45 L 12.49 -12.67 L 12.36 -12.89 L 12.39 -13.08 L 12.49 -13.07 L 12.56 -13.24 L 12.81 -13.37 L 12.87 -13.46 L 12.84 -13.49 L 13.23 -13.55 L 13.33 -13.71 L 13.61 -13.7 Z,12.0019,13.1533,,Borno_State
cross-river,Cross River,South South,M 9.49 -6.42 L 9.34 -6.31 L 8.98 -5.9 L 8.92 -5.9 L 8.85 -5.83 L 8.86 -5.75 L 8.82 -5.7 L 8.9 -5.6 L 8.84 -5.49 L 8.8 -5.16 L 8.6 -4.88 L 8.61 -4.83 L 8.55 -4.8 L 8.53 -4.71 L 8.41 -4.75 L 8.42 -4.85 L 8.36 -4.8 L 8.18 -4.99 L 8.27 -4.87 L 8.3 -4.78 L 8.25 -4.81 L 8.07 -5.04 L 8.06 -5.21 L 7.92 -5.26 L 7.87 -5.33 L 7.96 -5.39 L 7.88 -5.69 L 7.97 -5.99 L 8.1 -5.95 L 8.19 -6.03 L 8.25 -6.02 L 8.38 -6.24 L 8.38 -6.37 L 8.44 -6.4 L 8.29 -6.68 L 8.41 -6.75 L 8.58 -6.75 L 8.63 -6.87 L 8.76 -6.89 L 8.96 -6.79 L 8.99 -6.66 L 9.23 -6.69 L 9.32 -6.64 L 9.49 -6.42 Z,5.93762,8.67873,,Cross_River_State
delta,Delta,South South,M 5.46 -5.13 L 5.5 -5.14 L 5.45 -5.19 L 5.37 -5.16 L 5.35 -5.36 L 5.58 -5.38 L 5.53 -5.48 L 5.64 -5.54 L 5.52 -5.5 L 5.48 -5.41 L 5.42 -5.44 L 5.43 -5.4 L 5.26 -5.44 L 5.2 -5.5 L 5.22 -5.58 L 5.39 -5.56 L 5.44 -5.63 L 5.51 -5.6 L 5.45 -5.66 L 5.33 -5.61 L 5.34 -5.72 L 5.28 -5.62 L 5.18 -5.58 L 5.13 -5.63 L 5.1 -5.79 L 5.15 -5.78 L 5.29 -5.91 L 5.04 -5.77 L 5 -5.85 L 5.12 -6.13 L 5.23 -6.04 L 5.25 -5.91 L 5.33 -6.02 L 5.53 -5.98 L 5.66 -6.04 L 5.9 -5.88 L 5.89 -5.75 L 6.02 -5.76 L 6.22 -5.97 L 6.1 -6.13 L 6.07 -6.33 L 6.13 -6.35 L 6.2 -6.29 L 6.68 -6.54 L 6.76 -6.12 L 6.7 -6.08 L 6.55 -5.5 L 6.47 -5.44 L 6.5 -5.37 L 6.33 -5.34 L 6.29 -5.26 L 6.21 -5.25 L 6.21 -5.18 L 6.05 -5.1 L 5.95 -5.16 L 5.67 -5.03 L 5.46 -5.13 Z,5.44265,5.88195,,Delta_State
