country,score
Afghanistan,0.26
Albania,6.37
Algeria,3.66
Angola,2.90
Argentina,6.85
Armenia,5.35
Australia,8.72
Austria,8.41
Azerbaijan,2.64
Bahrain,2.52
Bangladesh,5.99
Belarus,2.45
Belgium,7.64
Benin,5.67
Bhutan,4.39
Bolivia,4.65
Bosnia and Herzegovina,4.72
Botswana,7.73
Brazil,6.68
Bulgaria,6.72
Burkina Faso,2.99
Burundi,1.63
Cambodia,3.18
Cameroon,2.88
Canada,8.88
Cape Verde,7.92
Central African Republic,1.50
Chad,1.67
Chile,8.04
China,2.12
Colombia,6.60
Comoros,3.40
Costa Rica,8.29
Côte d'Ivoire,3.85
Croatia,6.50
Cuba,2.46
Cyprus,7.41
Czechia,7.97
Democratic Republic of the Congo,1.40
Denmark,9.28
Djibouti,2.49
Dominican Republic,6.20
Ecuador,6.01
Egypt,2.93
El Salvador,5.24
Equatorial Guinea,1.90
Eritrea,2.31
Estonia,7.96
Eswatini,3.14
Ethiopia,3.26
Fiji,5.61
Finland,9.30
France,8.07
Gabon,3.48
Gambia,4.06
Georgia,5.41
Germany,8.80
Ghana,6.44
Greece,7.97
Guatemala,4.48
Guinea,2.48
Guinea-Bissau,1.73
Guyana,6.05
Haiti,2.34
Honduras,5.36
Hungary,6.64
Iceland,9.45
India,7.18
Indonesia,6.71
Iran,1.96
Iraq,3.53
Ireland,9.19
Israel,7.84
Italy,7.69
Jamaica,7.31
Japan,8.33
Jordan,3.41
Kazakhstan,3.08
Kenya,4.87
Kiribati,6.89
Kuwait,3.83
Kyrgyzstan,3.78
Laos,2.22
Latvia,7.41
Lebanon,3.65
Lesotho,6.12
Liberia,5.22
Libya,2.06
Lithuania,7.50
Luxembourg,8.81
Madagascar,4.23
Malawi,5.72
Malaysia,7.30
Maldives,4.90
Mali,2.80
Malta,8.15
Mauritania,3.24
Mauritius,8.07
Mexico,5.98
Moldova,5.92
Mongolia,6.42
Montenegro,5.94
Morocco,4.85
Mozambique,3.51
Myanmar,0.74
Namibia,6.52
Nepal,4.41
Netherlands,9.00
New Zealand,9.61
Nicaragua,2.68
Niger,3.27
Nigeria,4.29
North Korea,1.08
North Macedonia,5.89
Norway,9.81
Oman,3.07
Pakistan,4.31
Palestine,3.12
Panama,7.18
Papua New Guinea,6.03
Paraguay,6.22
Peru,6.23
Philippines,6.73
Poland,7.04
Portugal,8.18
Qatar,3.78
Republic of the Congo,2.56
Romania,6.45
Russia,2.22
Rwanda,3.00
Samoa,8.54
São Tomé and Príncipe,6.59
Saudi Arabia,2.08
Senegal,5.42
Serbia,5.75
Seychelles,6.55
Sierra Leone,4.49
Singapore,6.14
Slovakia,7.17
Slovenia,7.80
Solomon Islands,7.02
Somalia,0.00
South Africa,7.05
South Korea,8.09
South Sudan,0.89
Spain,8.07
Sri Lanka,5.69
Sudan,2.28
Suriname,6.70
Sweden,9.39
Switzerland,9.14
Syria,1.43
Taiwan,8.92
Tajikistan,1.95
Tanzania,5.12
Thailand,6.35
Timor-Leste,7.17
Togo,3.16
Tonga,5.82
Trinidad and Tobago,7.16
Tunisia,5.53
Türkiye,4.35
Turkmenistan,1.66
Uganda,4.63
Ukraine,5.42
United Arab Emirates,2.90
United Kingdom,8.54
United States of America,7.85
Uruguay,8.61
Uzbekistan,2.12
Vanuatu,6.93
Venezuela,2.23
Vietnam,2.62
Yemen,1.35
Zambia,4.25
Zimbabwe,2.77
