country,score
Afghanistan,3.448
Albania,1.794
Algeria,2.131
Angola,2.085
Argentina,1.709
Armenia,2.312
Australia,1.302
Austria,1.316
Azerbaijan,2.225
Bahrain,1.845
Bangladesh,2.068
Belarus,2.215
Belgium,1.428
Benin,1.901
Bhutan,1.481
Bolivia,2.007
Bosnia and Herzegovina,1.877
Botswana,1.622
Brazil,2.376
Brunei,1.452
Bulgaria,1.567
Burkina Faso,2.836
Burundi,2.388
Cambodia,1.972
Cameroon,2.493
Canada,1.337
Central African Republic,2.819
Chad,2.706
Chile,1.844
China,1.900
Colombia,2.615
Comoros,1.883
Costa Rica,1.540
Côte d'Ivoire,2.077
Croatia,1.527
Cuba,1.770
Cyprus,1.680
Czechia,1.379
Democratic Republic of the Congo,3.168
Denmark,1.310
Djibouti,2.013
Dominican Republic,2.014
Ecuador,2.406
Egypt,2.280
El Salvador,2.090
Equatorial Guinea,2.128
Eritrea,2.519
Estonia,1.541
Eswatini,1.936
Ethiopia,2.868
Fiji,1.862
Finland,1.267
France,1.637
Gabon,1.961
Gambia,1.833
Georgia,1.980
Germany,1.507
Ghana,1.775
Greece,1.690
Guatemala,2.149
Guinea,2.185
Guinea-Bissau,2.073
Guyana,1.883
Haiti,2.874
Honduras,2.120
Hungary,1.658
Iceland,1.124
India,2.432
Indonesia,1.691
Iran,2.543
Iraq,2.882
Ireland,1.288
Israel,2.609
Italy,1.530
Jamaica,2.013
Japan,1.336
Jordan,1.862
Kazakhstan,1.914
Kenya,2.265
Kuwait,1.642
Kyrgyzstan,2.025
Laos,1.788
Latvia,1.622
Lebanon,2.710
Lesotho,1.909
Liberia,1.825
Libya,3.170
Lithuania,1.763
Luxembourg,1.342
Madagascar,1.965
Malawi,1.757
Malaysia,1.537
Maldives,1.621
Mali,2.915
Malta,1.372
Mauritania,2.182
Mauritius,1.426
Mexico,2.560
Moldova,2.050
Mongolia,1.658
Montenegro,1.697
Morocco,2.013
Mozambique,2.447
Myanmar,2.797
Namibia,1.629
Nepal,1.876
Netherlands,1.379
New Zealand,1.156
Nicaragua,1.944
Niger,2.621
Nigeria,2.745
North Korea,2.930
North Macedonia,1.710
Norway,1.247
Oman,1.641
Pakistan,2.724
Palestine,2.867
Panama,1.813
Papua New Guinea,2.224
Paraguay,1.850
Peru,2.119
Philippines,2.291
Poland,1.672
Portugal,1.247
Qatar,1.400
Republic of the Congo,2.229
Romania,1.595
Russia,3.269
Rwanda,2.048
Saudi Arabia,2.082
Senegal,1.810
Serbia,1.891
Seychelles,1.428
Sierra Leone,1.813
Singapore,1.316
Slovakia,1.568
Slovenia,1.355
Solomon Islands,1.959
Somalia,3.182
South Africa,2.392
South Korea,1.716
South Sudan,3.491
Spain,1.504
Sri Lanka,2.008
Sudan,3.377
Suriname,1.757
Sweden,1.470
Switzerland,1.339
Syria,3.391
Taiwan,1.649
Tajikistan,2.133
Tanzania,1.807
Thailand,1.839
Timor-Leste,1.931
Togo,2.106
Tonga,1.463
Trinidad and Tobago,1.895
Tunisia,1.817
Türkiye,2.489
Turkmenistan,2.107
Uganda,2.324
Ukraine,3.043
United Arab Emirates,1.554
United Kingdom,1.627
United States of America,2.337
Uruguay,1.413
Uzbekistan,2.020
Vanuatu,1.574
Venezuela,2.441
Vietnam,1.659
Yemen,3.397
Zambia,1.879
Zimbabwe,2.189
