country,score
Afghanistan,31.56
Albania,59.87
Algeria,32.93
Andorra,62.81
Angola,38.73
Antigua and Barbuda,52.14
Argentina,59.12
Armenia,55.80
Australia,73.67
Austria,75.24
Azerbaijan,27.85
Bahamas,64.55
Bahrain,27.98
Bangladesh,37.30
Barbados,67.80
Belarus,22.31
Belgium,78.63
Belize,55.98
Benin,39.14
Bhutan,55.47
Bolivia,47.15
Bosnia and Herzegovina,51.91
Botswana,56.70
Brazil,53.77
Brunei,38.43
Bulgaria,55.27
Burkina Faso,37.79
Burundi,24.63
Cambodia,30.10
Cameroon,30.93
Canada,76.19
Cape Verde,68.49
Central African Republic,33.85
Chad,25.19
Chile,67.34
China,22.97
Colombia,46.37
Comoros,41.43
Costa Rica,72.59
Côte d'Ivoire,43.60
Croatia,62.98
Cuba,20.97
Cyprus,67.08
Czechia,71.72
Democratic Republic of the Congo,30.66
Denmark,90.92
Djibouti,24.97
Dominica,63.49
Dominican Republic,54.76
Ecuador,50.67
Egypt,22.87
El Salvador,34.42
Equatorial Guinea,19.69
Eritrea,13.81
Estonia,85.31
Eswatini,33.65
Ethiopia,35.92
Fiji,57.99
Finland,88.69
France,73.21
Gabon,37.26
Gambia,51.36
Georgia,52.17
Germany,80.98
Ghana,57.16
Greece,54.06
Grenada,60.35
Guatemala,37.20
Guinea,32.00
Guinea-Bissau,43.75
Guyana,54.38
Haiti,33.51
Honduras,36.32
Hungary,47.41
Iceland,88.62
India,36.62
Indonesia,49.58
Iran,19.53
Iraq,28.59
Ireland,81.91
Israel,53.28
Italy,64.41
Jamaica,59.44
Japan,63.95
Jordan,38.06
Kazakhstan,34.61
Kenya,49.61
Kiribati,58.20
Kosovo,54.50
Kuwait,46.78
Kyrgyzstan,41.77
Laos,22.85
Latvia,77.31
Lebanon,44.52
Lesotho,50.43
Liberia,52.49
Libya,19.17
Liechtenstein,77.18
Lithuania,77.74
Luxembourg,77.39
Madagascar,45.10
Malawi,52.93
Malaysia,42.08
Maldives,46.38
Mali,33.48
Malta,58.26
Marshall Islands,57.39
Mauritania,42.67
Mauritius,62.41
Mexico,33.80
Micronesia,57.98
Moldova,58.60
Monaco,65.55
Mongolia,58.30
Montenegro,49.87
Morocco,39.40
Mozambique,41.82
Myanmar,17.37
Namibia,67.90
Nauru,52.65
Nepal,50.28
Netherlands,82.40
New Zealand,81.60
Nicaragua,22.07
Niger,38.27
Nigeria,36.68
North Korea,13.92
North Macedonia,55.09
Norway,95.18
Oman,36.99
Pakistan,30.26
Palau,57.00
Palestine,27.82
Panama,57.50
Papua New Guinea,48.45
Paraguay,45.59
Peru,46.71
Philippines,43.54
Poland,58.47
Portugal,82.65
Qatar,39.62
Republic of the Congo,29.64
Romania,63.73
Russia,21.63
Rwanda,36.48
Saint Kitts and Nevis,55.00
Saint Lucia,60.73
Saint Vincent and the Grenadines,55.88
Samoa,67.23
San Marino,62.00
São Tomé and Príncipe,54.98
Saudi Arabia,24.92
Senegal,49.61
Serbia,47.60
Seychelles,64.88
Sierra Leone,45.33
Singapore,41.19
Slovakia,67.28
Slovenia,72.30
Solomon Islands,53.90
Somalia,25.96
South Africa,55.52
South Korea,67.15
South Sudan,19.72
Spain,69.25
Sri Lanka,37.82
Sudan,23.43
Suriname,53.96
Sweden,82.16
Switzerland,83.68
Syria,14.67
Taiwan,73.37
Tajikistan,22.39
Tanzania,38.57
Thailand,36.62
Timor-Leste,63.09
Togo,36.57
Tonga,57.36
Trinidad and Tobago,62.63
Tunisia,44.50
Türkiye,29.69
Turkmenistan,14.42
Tuvalu,58.00
Uganda,34.38
Ukraine,55.76
United Arab Emirates,33.37
United Kingdom,76.33
United States of America,66.59
Uruguay,82.42
Uzbekistan,28.82
Vanuatu,60.82
Venezuela,24.38
Vietnam,21.37
Yemen,15.19
Zambia,43.29
Zimbabwe,32.69
